id	val
init_gold	0
init_diamond	0
tired_max	100
tired_power	180
diamond_per_min	0.5
refresh_time	3600
qifuxiaohao	10
qifu	2000
total_exp	8197405
equipPageMax	5
propsPageMax	5
materialPageMax	5
arena_start	30
arenaCd	2400
arena_revenge	3
arenaBattleMax	5
arenaBuy	5
fb_max1	15
fb_max2	7
fb_max3	4
fb_cd1	300
fb_cd2	1800
fb_cd3	5400
starCumulative	2
starBack	10
daily	5
version_update	"szturbotech.com"
version	"1.5.3"
maxHero	16
purgeGuide	9
tavernGuide	18
fbGuide	20
arenaGuide	30
weixinShare	86400
luckyGuide	25
chatTime	5
herosoul_cd	28800
herosoul_refresh	100
herosoul_cq	30
herosoul_coin_cd	3600
herosoul_coin_count	8000
herosoul_cq_times	10
