id	type	dialog
6000001	30001	我的灵魂是神圣的
6000002	30001	圣光的力量庇护着我的人民
6000003	30001	只有纯粹力量才能真正结束战争
6000004	30001	我能感受到我的灵魂
6000005	30002	我的灵魂是神圣的
6000006	30002	圣光的力量庇护着我的人民
6000007	30002	只有纯粹力量才能真正结束战争
6000008	30002	我能感受到我的灵魂
6000009	30002	死亡之是痛苦的开始。。
6000010	30003	智慧啊，给我力量吧！
6000011	30004	爱与恨是我的源泉。
6000012	30005	野蛮的力量终究是低级的手段
6000013	30006	一切邪恶和阴霾统统驱散
6000014	30007	￥%……&%%￥……
6000015	30008	啊。。。。啊。。。
6000016	30009	肉。。我的肉。。
6000017	30010	咕嘟。。。啪嗒。。。咕咕咕
6000018	30011	咕嘟。。。啪嗒。。。咕咕咕
6000019	30007	咕嘟。。。啪嗒。。。咕咕咕
6000020	30008	咕嘟。。。啪嗒。。。咕咕咕
6000021	1	咕嘟。。。啪嗒。。。咕咕咕
6000022	2	咕嘟。。。啪嗒。。。咕咕咕
6000023	3	咕嘟。。。啪嗒。。。咕咕咕
6000024	4	咕嘟。。。啪嗒。。。咕咕咕
6000025	5	咕嘟。。。啪嗒。。。咕咕咕
6000026	6	咕嘟。。。啪嗒。。。咕咕咕
6000027	7	咕嘟。。。啪嗒。。。咕咕咕
6000028	8	咕嘟。。。啪嗒。。。咕咕咕
6000029	9	咕嘟。。。啪嗒。。。咕咕咕
6000030	10	咕嘟。。。啪嗒。。。咕咕咕
6000031	11	咕嘟。。。啪嗒。。。咕咕咕
6000032	12	咕嘟。。。啪嗒。。。咕咕咕
6000033	13	咕嘟。。。啪嗒。。。咕咕咕
6000034	14	咕嘟。。。啪嗒。。。咕咕咕
6000035	15	咕嘟。。。啪嗒。。。咕咕咕
6000036	16	咕嘟。。。啪嗒。。。咕咕咕
6000037	17	咕嘟。。。啪嗒。。。咕咕咕
6000038	18	咕嘟。。。啪嗒。。。咕咕咕
6000039	19	咕嘟。。。啪嗒。。。咕咕咕
6000040	20	咕嘟。。。啪嗒。。。咕咕咕
6000041	21	咕嘟。。。啪嗒。。。咕咕咕
6000042	22	咕嘟。。。啪嗒。。。咕咕咕
6000043	23	咕嘟。。。啪嗒。。。咕咕咕
6000044	24	咕嘟。。。啪嗒。。。咕咕咕
6000045	25	咕嘟。。。啪嗒。。。咕咕咕
6000046	26	咕嘟。。。啪嗒。。。咕咕咕
6000047	27	咕嘟。。。啪嗒。。。咕咕咕
6000048	28	咕嘟。。。啪嗒。。。咕咕咕
6000049	29	咕嘟。。。啪嗒。。。咕咕咕
6000050	30	咕嘟。。。啪嗒。。。咕咕咕
6000051	31	咕嘟。。。啪嗒。。。咕咕咕
6000052	32	咕嘟。。。啪嗒。。。咕咕咕
6000053	33	咕嘟。。。啪嗒。。。咕咕咕
6000054	34	咕嘟。。。啪嗒。。。咕咕咕
6000055	35	咕嘟。。。啪嗒。。。咕咕咕
6000056	36	咕嘟。。。啪嗒。。。咕咕咕
6000057	37	咕嘟。。。啪嗒。。。咕咕咕
6000058	38	咕嘟。。。啪嗒。。。咕咕咕
6000059	39	咕嘟。。。啪嗒。。。咕咕咕
6000060	40	咕嘟。。。啪嗒。。。咕咕咕
6000061	41	咕嘟。。。啪嗒。。。咕咕咕
6000062	42	咕嘟。。。啪嗒。。。咕咕咕
6000063	43	咕嘟。。。啪嗒。。。咕咕咕
6000064	44	咕嘟。。。啪嗒。。。咕咕咕
6000065	45	咕嘟。。。啪嗒。。。咕咕咕
