id	point	level	tips	type
1	12		恭喜你，开启装备强化功能	0
2	4		恭喜你，开启图鉴系统	0
3	3		恭喜你，开启酒馆系统	0
4	4		恭喜你，开启雇佣兵系统	0
5	3		恭喜你，开启幸运星系统	0
6	1		恭喜你，开启聊天功能	0
7	40		恭喜你，开启角斗场系统	0
8	21		恭喜你，开启副本玩法	0
9	2		恭喜你，开启邮件功能	0
10	3		恭喜你，开启噩梦玩法	0
11	21		恭喜你，开启商店功能	0
12	27		恭喜你，开启英雄进阶功能	0
13	39		恭喜你，开启英雄升星功能	0
14	60		恭喜你，开启宝珠抽取功能	0
15	66		恭喜你，开启装备合成功能	0
16	48		恭喜你，开启英雄分解功能	0
17	33		恭喜你，开启装备镶嵌功能	0
18	82		恭喜你，开启宝珠吞噬功能	0
19	42		恭喜你，开启经验药水功能	0
20	51		恭喜你，开启宝珠合成功能	0
21	24		恭喜你，开启命运之轮功能	0
22	5		恭喜你，可以携带2个英雄上阵	1
23	10		恭喜你，可以携带3个英雄上阵	1
24	20		恭喜你，可以携带4个英雄上阵	1
25	36		恭喜你，可以携带5个英雄上阵	1
