name	sound
skill_103	relive
skill_104	treat
skill_105	treat
skill_106	treat
skill_108	knick
skill_109	fireunderattack
skill_110	relive
skill_111	treat
skill_112	axeunderattack
skill_113	axeunderattack
skill_114	swordunderattack
skill_118	hurtgrowl
skill_119	chuizi
skill_120	thunder
skill_121	shenpan
skill_123	baoyan
skill_127	thunder
skill_128	zhiliaolian
skill_1001	debuff
skill_1002	fear
skill_1003	debuff
skill_1004	chenmo
skill_1005	swim
skill_1006	savage
skill_1007	debuff
skill_1008	bingdong
skill_1009	sentryward
skill_50001	thunderstrom
skill_50002	lightningchain
skill_50003	savageroar
skill_50004	superbeheaded
skill_50005	whirlwind
skill_50006	trample
skill_50007	rocketcross
skill_50008	storm
skill_50009	darkmagic
skill_1006	powerup
skill_2003	zidan
skill_2008	nianye
skill_50012	bingxueshuangbao
skill_1010	shengyan
skill_50016	yunxingzhuiluo
skill_50017	yuren
skill_1011	tianshenxiafan
skill_130	jusha
skill_133	liesha
skill_132	hanshuangzhiji
skill_134	shunci
skill_129	demaxiyadazhao
skill_50014	huoshe
skill_50015	siwangdiaole
skill_10008	hudun
skill_10011	wudi
skill_135	chongfengqiang
skill_1013	shihun
skill_1012	kuangzhanshi
skill_50018	hanbingjujian
skill_50020	heianchuantou
skill_50021	heianzhichao
skill_136	heianzhijian
skill_139	panlongti
skill_138	huxingquan
skill_50022	lieyanfengbao
word_jiushuzhiyi	juexingtexiao
word_anyingbu	juexingtexiao
word_fengyunanyong	juexingtexiao
word_danyulaixi	juexingtexiao
word_wudizhan	juexingtexiao
word_yexingnuhou	juexingtexiao
word_siwangkongju	juexingtexiao
word_zhanzhengjianta	juexingtexiao
word_xianzuzhihun	juexingtexiao
word_ningjingzhiyu	juexingtexiao
word_pihutianshi	juexingtexiao
word_emojuexing	juexingtexiao
word_morishenpan	juexingtexiao
word_tianshenzhili	juexingtexiao
word_huoshequnwu	juexingtexiao
word_jusha	juexingtexiao
word_daozhen	juexingtexiao
word_shenpanzhihu	juexingtexiao
word_siwangdiaoling	juexingtexiao
word_shixuekuangbao	juexingtexiao
word_huolijizhong	juexingtexiao
word_binghanjujian	juexingtexiao
word_heianzhichao	juexingtexiao
word_nuyankongzha	juexingtexiao
word_panlongti	juexingtexiao
word_yuhuofenghuang	juexingtexiao
word_50004	juexingtexiao
