id	level	pos	caption
2	6	5	这回，总算派上用场了！
3	6	5	高兴个什么？小心别给龙吃了
4	9	9	我要与我的部下共同战斗！
5	12	8	我的能力在这里只是大才小用！
6	15	2	我的外壳坚硬无比！没有点实力是打不动我的！
7	18	5	唔噜噜！！给我消灭入侵者！
8	21	8	我最讨厌没跟我打招呼就踏上我的领土的渣渣了！
9	24	8	唔噜噜噜噜噜！看着我有没有觉得“萌萌哒！”
10	27	1	你们想通过这里，要问问我的鱼人朋友同意不同意！
11	27	5	唔噜噜噜噜噜
12	27	5	噜噜噜噜
13	30	8	我被囚禁了几千年，甚至对这里有了感情~！
14	33	5	不要以为被禁锢了能量的我会很好欺负~！
15	36	2	又有新手来送死了！噜噜噜噜
16	39	8	你知道被囚禁的火焰会有怎样的愤怒么？
17	42	8	别眨眼，我才是这里的头！
18	45	5	这里太小了，容纳不了我庞大的野心
19	48	8	来吧，骚年，成为我的宠物吧！哈哈
20	51	2	死亡，是重生的开始~！
21	54	8	我的尖牙，撕碎的是你们的“希望”！
22	57	2	既然来到我的城堡，进来坐坐吧~！
23	60	5	快抓住他们！
24	60	1	是的老大
25	60	3	遵命老大
26	63	2	警告，一级警告！
27	66	8	机械才是宇宙进化的终极形态，快让我把你拆成零件！
28	69	2	需要我来驯化一下你么？我的小可爱
29	72	5	正好，来试试我的新法术！
30	75	8	我就是鼎鼎大名的赫洛德
31	78	8	找到你的坟墓了么？其实没有也没什么关系！
32	81	2	萨尔诺斯真是个废物！我可就没那么好对付了！
33	84	8	你们别以为战胜了我的小玩具代表了什么！
34	87	9	复活吧，我的勇士~！
35	87	7	为你而战，我的女士
36	90	8	入侵！！异教徒！
37	93	2	你们这些肮脏的心灵才应该享受我们这被诅咒的身躯
38	96	8	杀了他们，杀了这些异教徒！
39	99	5	我不可能被你们阻挠，我的计划是完美的
40	102	8	我已经看出了暗藏在你们内心中的邪恶！
41	105	5	让我渗透到你们的血液中吧！凡人！
42	108	5	我美么？呵呵呵哈哈哈哈哈哈！
43	111	8	什么？你们找到我了？
44	111	8	那就跟那些找到我的人一样下地狱去吧！
45	114	8	秩序，你们不能破换秩序！
46	117	5	你们遗忘了我！
47	117	5	我可永远不会忘记你们！
48	120	8	吱吱，你们都是我的猎物~！
49	123	8	你们是来陪我玩的嘛？
50	126	5	死亡在我的腐烂中吧！
51	129	2	你们冰封了我的肉体，而我要冰封你们的未来！
52	132	2	这不是你们应该来的地方，守卫，抓住他们！
53	132	2	遵命!维萨尔大祭祀
54	135	8	是谁召唤了我？
55	138	8	我能让他们从沉睡中醒来，也能让你们安然的睡去！
56	141	5,8	你们破坏了我的计划！是你们自己选择的死亡！
57	144	5	《屠龙纲要》？你们休想得到！
58	147	5	你们快离开！我无法控制自己！
59	150	2	我要捍卫我的家族！不管用什么手段！
60	153	8	告诉他们，我是谁！
61	153	4,6,8	我们的国王！
62	156	8	你们怎么知道这里的？不过一切都太晚了
63	159	8	你们来了？虽然有点意外，不过正好让我来做个研究！
64	162	2	哈~~~~卡~~~~~
65	165	8	让我来给你们上一课吧！
66	168	5	别说我没警告你们，快离开！
67	171	5	休想通过这里~！
68	174	8	大家好，我是通灵学院的院长，是时候上交你们的灵魂了！
69	177	8	啊啊啊~我要踩扁你们~！
70	180	2	火焰可以净化你的躯壳，来吧！
71	183	5	铁炉堡应该是我的！我要夺回属于我的一切！
72	186	5	瘟疫，死亡。欢迎你们，观光客！
73	189	2	抓住你了，不管你走到哪里我都注视着你！
74	192	8	呵呵，你是来陪我玩的嘛？
75	195	8	消灭异类！
76	198	8	不用着急，我会慢慢的送你们走向死亡的！
77	201	2	我们是！
78	201	1	黑手先锋！
79	204	8	好久没有新鲜的客人了~！
80	207	5	抓住他们，不要让他们泄露了我们的行踪
81	210	5	这些废物，居然连尔等蝼蚁都需要我亲自出击！
82	210	3	我早就说过除了我们亲卫队，其他人都不靠谱
83	213	8	知道我的手为什么会黑么？那是鲜血真正的颜色！
84	216	7,9	不用看了，这里是必经之路！好好享受为你们准备的盛宴吧
85	219	5	什么？送食物过来了么？
86	219	1	这次的食物怎么这么少！
87	222	8	还挺厉害！不过一切都太晚了！我终将统治你们！
88	225	8	我们是被遗忘者！黑暗和死亡是你们将要付出的代价！
89	228	8	快留下来陪我的小可爱们玩吧！
90	231	5	只有我的蜘蛛大军才能保护金度大人！
91	234	5	只有我才能驯化如此凶猛的野兽！
92	237	8	食物，我的食物，快给我食物
93	240	5	你们难道不害怕这凶悍的利爪与尖牙么！
94	243	1	喔~材料终于集齐了，我的主人就要复活了，你们杀了我完全是白费力气
95	243	8	话说你们真的能杀了我么？
96	246	2	是谁召唤了我？我可以让他比这个世界晚毁灭两天！
97	249	8	我掌握了黑暗的能量，我有死神的庇护！
98	252	5	尖牙利齿算什么？我要的是纯粹的力量！
99	255	5	龙族的力量，你们无法领略！
100	258	5	什么？加兹兰卡被你们消灭了？
101	258	5	那个狂妄自大的废物！
102	261	8	恶魔，梦魇，一切罪恶的根源，我控制着这一切
103	264	5	这里我才是主宰！！！！
130	20001	5	享受深渊的黑暗吧，我的伤害可不低！
131	20002	1	这回，总算派上用场了！
132	20002	7	高兴个什么？小心别给龙吃了
133	20003	8	我要与我的部下共同战斗！
134	20004	5	我的能力在这里只是大财小用！
135	20005	5	我的外壳坚硬无比！没有点实力是打不动我的！
136	20006	5	唔噜噜！！给我消灭入侵者！
137	20007	5	我最讨厌没跟我打招呼就踏上我的领土的渣渣了！
138	20008	5	唔噜噜噜噜噜！看着我有没有觉得“萌萌哒！”
139	20009	5	你们想通过这里，要问问我的鱼人朋友同意不同意！
140	20009	1,3,7	唔噜噜噜噜噜
141	20009	9	噜噜噜噜
142	20010	5	我被囚禁了几千年，甚至对这里有了感情~！
143	20011	5	不要以为被禁锢了能量的我会很好欺负~！
144	20012	5	又有新手来送死了！噜噜噜噜
145	20013	5	你知道被囚禁的火焰会有怎样的愤怒么？
146	20014	5	别眨眼，我才是这里的头！
147	20015	5	这里太小了，容纳不了我庞大的野心
148	20016	5	来吧，骚年，成为我的宠物吧！哈哈
149	20017	5	死亡，是重生的开始~！
150	20018	5	我的尖牙，撕碎的是你们的“希望”！
151	20019	5	既然来到我的城堡，进来坐坐吧~！
152	20020	5	快抓住他们！
153	20020	3	是的老大
154	20020	7	遵命老大
155	20021	5	警告，一级警告！
156	20022	5	机械才是宇宙进化的终极形态，快让我把你拆成零件！
157	20023	5	需要我来驯化一下你么？我的小可爱
158	20024	5	正好，来试试我的新法术！
159	20025	5	我就是鼎鼎大名的赫洛德
160	20026	5	找到你的坟墓了么？其实没有也没什么关系！
161	20027	5	萨尔诺斯真是个废物！我可就没那么好对付了！
162	20028	5	你们别以为战胜了我的小玩具代表了什么！
163	20029	9	复活吧，我的勇士~！
164	20029	7	为你而战，我的女士
165	20030	5	入侵！！异教徒！
166	20031	5	你们这些肮脏的心灵才应该享受我们这被诅咒的身躯
167	20032	5	杀了他们，杀了这些异教徒！
168	20033	5	我不可能被你们阻挠，我的计划是完美的
169	20034	5	我已经看出了暗藏在你们内心中的邪恶！
170	20035	5	让我渗透到你们的血液中吧！凡人！
171	20036	5	我美么？呵呵呵哈哈哈哈哈哈！
172	20037	5	什么？你们找到我了？
173	20037	5	那就跟那些找到我的人一样下地狱去吧！
174	20038	5	秩序，你们不能破换秩序！
175	20039	5	你们遗忘了我！
176	20039	5	我可永远不会忘记你们！
177	20040	5	吱吱，你们都是我的猎物~！
178	20041	5	你们是来陪我玩的嘛？
179	20042	5	死亡在我的腐烂中吧！
180	20043	5	你们冰封了我的肉体，而我要冰封你们的未来！
181	20044	5	这不是你们应该来的地方，守卫，抓住他们！
182	20044	1,3,7,9	遵命!维萨尔大祭祀
183	20045	5	是谁召唤了我？
184	20046	5	我能让他们从沉睡中醒来，也能让你们安然的睡去！
185	20047	5	你们破坏了我的计划！是你们自己选择的死亡！
186	20048	5	《屠龙纲要》？你们休想得到！
187	20049	5	你们快离开！我无法控制自己！
188	20050	5	我要捍卫我的家族！不管用什么手段！
189	20051	5	告诉他们，我是谁！
190	20051	1,3,7,9	我们的国王！
191	20052	5	你们怎么知道这里的？不过一切都太晚了
192	20053	5	你们来了？虽然有点意外，不过正好让我来做个研究！
193	20054	5	哈~~~~卡~~~~~
194	20055	5	让我来给你们上一课吧！
195	20056	5	别说我没警告你们，快离开！
196	20057	5	休想通过这里~！
197	20058	5	大家好，我是通灵学院的院长，是时候上交你们的灵魂了！
198	20059	5	啊啊啊~我要踩扁你们~！
199	20060	5	火焰可以净化你的躯壳，来吧！
200	20061	5	铁炉堡应该是我的！我要夺回属于我的一切！
201	20062	5	瘟疫，死亡。欢迎你们，观光客！
202	20063	5	抓住你了，不管你走到哪里我都注视着你！
203	20064	5	呵呵，你是来陪我玩的嘛？
204	20065	1,3，5,7,9	消灭异类！
205	20066	5	不用着急，我会慢慢的送你们走向死亡的！
206	20067	5	我们是！
207	20067	1,3,7,9	黑手先锋！
208	20068	5	好久没有新鲜的客人了~！
209	20069	5	抓住他们，不要让他们泄露了我们的行踪
210	20070	5	这些废物，居然连尔等蝼蚁都需要我亲自出击！
211	20070	7	我早就说过除了我们亲卫队，其他人都不靠谱
212	20071	5	知道我的手为什么会黑么？那是鲜血真正的颜色！
213	20072	5	不用看了，这里是必经之路！好好享受为你们准备的盛宴吧
214	20073	5	什么？送食物过来了么？
215	20073	5	这次的食物怎么这么少！
216	20074	5	还挺厉害！不过一切都太晚了！我终将统治你们！
217	20075	5	我们是被遗忘者！黑暗和死亡是你们将要付出的代价！
218	20076	5	快留下来陪我的小可爱们玩吧！
219	20077	5	只有我的蜘蛛大军才能保护金度大人！
220	20078	5	只有我才能驯化如此凶猛的野兽！
221	20079	5	食物，我的食物，快给我食物
222	20080	5	你们难道不害怕这凶悍的利爪与尖牙么！
223	20081	5	喔~材料终于集齐了，我的主人就要复活了，你们杀了我完全是白费力气
224	20081	5	话说你们真的能杀了我么？
225	20082	5	是谁召唤了我？我可以让他比这个世界晚毁灭两天！
226	20083	5	我掌握了黑暗的能量，我有死神的庇护！
227	20084	5	尖牙利齿算什么？我要的是纯粹的力量！
228	20085	5	龙族的力量，你们无法领略！
229	20086	5	什么？加兹兰卡被你们消灭了？
230	20086	5	那个狂妄自大的废物！
231	20087	5	恶魔，梦魇，一切罪恶的根源，我控制着这一切
232	20088	5	这里我才是主宰！！！！
