id	maxSort	miniSort	successRate	moneyTyep	price	material1	magicNumber	material2	material3	material4	material5	material6	materials
1101002	1	1	100	1	2000	40001	1	40009	40010	40004			[{40001,1},{40009,1},{40010,1},{40004,1}]
1101003	1	1	100	1	4500	40011	1	40019	40020	40014			[{40011,1},{40019,1},{40020,1},{40014,1}]
1101004	1	1	100	1	7000	40022	1	40025	40027	40029			[{40022,1},{40025,1},{40027,1},{40029,1}]
1101005	1	1	100	1	12000	40032	1	40034	40036	40038			[{40032,1},{40034,1},{40036,1},{40038,1}]
1101006	1	1	100	1	18000	40042	1	40043	40044	40045			[{40042,1},{40043,1},{40044,1},{40045,1}]
1101007	1	1	100	1	24000	40049	2	40050	40051	40052			[{40049,2},{40050,2},{40051,2},{40052,2}]
1101008	1	1	100	1	29000	40053	2	40054	40057	40058			[{40053,2},{40054,2},{40057,2},{40058,2}]
1101009	1	1	100	1	33300	40059	2	40060	40063	40064			[{40059,2},{40060,2},{40061,2},{40062,2}]
1101010	1	1	100	1	38000	40065	3	40066	40067	40068			[{40065,3},{40066,3},{40067,3},{40068,3}]
1101011	1	1	100	1	43000	40069	3	40070	40071	40072			[{40069,3},{40070,3},{40071,3},{40072,3}]
1101012	1	1	100	1	50000	40073	4	40074	40075	40076			[{40073,4},{40074,4},{40075,4},{40076,4}]
1102002	1	2	100	1	2000	40001	1	40009	40010	40004			[{40001,1},{40009,1},{40010,1},{40004,1}]
1102003	1	2	100	1	4500	40011	1	40019	40020	40014			[{40011,1},{40019,1},{40020,1},{40014,1}]
1102004	1	2	100	1	7000	40022	1	40025	40027	40029			[{40022,1},{40025,1},{40027,1},{40029,1}]
1102005	1	2	100	1	12000	40032	1	40034	40036	40038			[{40032,1},{40034,1},{40036,1},{40038,1}]
1102006	1	2	100	1	18000	40042	1	40043	40044	40045			[{40042,1},{40043,1},{40044,1},{40045,1}]
1102007	1	2	100	1	24000	40049	2	40050	40051	40052			[{40049,2},{40050,2},{40051,2},{40052,2}]
1102008	1	2	100	1	29000	40053	2	40054	40057	40058			[{40053,2},{40054,2},{40057,2},{40058,2}]
1102009	1	2	100	1	33300	40059	2	40060	40063	40064			[{40059,2},{40060,2},{40063,2},{40064,2}]
1102010	1	2	100	1	38000	40065	3	40066	40067	40068			[{40065,3},{40066,3},{40067,3},{40068,3}]
1102011	1	2	100	1	43000	40069	3	40070	40071	40072			[{40069,3},{40070,3},{40071,3},{40072,3}]
1102012	1	2	100	1	50000	40073	4	40074	40075	40076			[{40073,4},{40074,4},{40075,4},{40076,4}]
1103002	1	3	100	1	2000	40001	1	40009	40010	40004			[{40001,1},{40009,1},{40010,1},{40004,1}]
1103003	1	3	100	1	4500	40011	1	40019	40020	40014			[{40011,1},{40019,1},{40020,1},{40014,1}]
1103004	1	3	100	1	7000	40022	1	40025	40027	40029			[{40022,1},{40025,1},{40027,1},{40029,1}]
1103005	1	3	100	1	12000	40032	1	40034	40036	40038			[{40032,1},{40034,1},{40036,1},{40038,1}]
1103006	1	3	100	1	18000	40042	1	40043	40044	40045			[{40042,1},{40043,1},{40044,1},{40045,1}]
1103007	1	3	100	1	24000	40049	2	40050	40051	40052			[{40049,2},{40050,2},{40051,2},{40052,2}]
1103008	1	3	100	1	29000	40053	2	40054	40057	40058			[{40053,2},{40054,2},{40057,2},{40058,2}]
1103009	1	3	100	1	33300	40059	2	40060	40063	40064			[{40059,2},{40060,2},{40063,2},{40064,2}]
1103010	1	3	100	1	38000	40065	3	40066	40067	40068			[{40065,3},{40066,3},{40067,3},{40068,3}]
1103011	1	3	100	1	43000	40069	3	40070	40071	40072			[{40069,3},{40070,3},{40071,3},{40072,3}]
1103012	1	3	100	1	50000	40073	4	40074	40075	40076			[{40073,4},{40074,4},{40075,4},{40076,4}]
1104002	1	4	100	1	2000	40001	1	40009	40010	40004			[{40001,1},{40009,1},{40010,1},{40004,1}]
1104003	1	4	100	1	4500	40011	1	40019	40020	40014			[{40011,1},{40019,1},{40020,1},{40014,1}]
1104004	1	4	100	1	7000	40022	1	40025	40027	40029			[{40022,1},{40025,1},{40027,1},{40029,1}]
1104005	1	4	100	1	12000	40032	1	40034	40036	40038			[{40032,1},{40034,1},{40036,1},{40038,1}]
1104006	1	4	100	1	18000	40042	1	40043	40044	40045			[{40042,1},{40043,1},{40044,1},{40045,1}]
1104007	1	4	100	1	24000	40049	2	40050	40051	40052			[{40049,2},{40050,2},{40051,2},{40052,2}]
1104008	1	4	100	1	29000	40053	2	40054	40057	40058			[{40053,2},{40054,2},{40057,2},{40058,2}]
