type	job	weapon	useIcon	isNew	des	get_type	get_hard	rarity	show	size	name	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	skill1	skill2	skill3	items	sound	skillword
30001	2	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	矮穷挫中的战斗机，富二代中的佼佼者，呆萌的外表下，有着一颗叛逆的心。这样的伪装下，谁又能体会到他的善良与温柔。他始终是孤独的！	酒馆获取	1	1	501	80	圣骑士	206	2000	150	40	60	60	100	150	120	0	1	2	3	[{30001,2}]	voice_30001	word_jiushuzhiyi
30003	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	妖娆性感的暗夜精灵女子，出入在神秘之中，她居无定所游走在各个城池之间。没有人知道她的名字，透过她眼睛看到的是刀刃上的一缕锋芒！	酒馆获取	1	2	508	80	暗夜女刺	282	1400	60	130	120	160	150	50	40	0	7	8	9	[{30003,2}]	voice_30003	word_anyingbu
30002	1	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	学识渊博的她从小就天赋异禀，对知识的渴望和家族的信仰使她肩负重任。每当战火来临硝烟四起的时候，她的智慧就是她强大的力量！	酒馆获取	2	3	502	80	火法	447	1100	30	20	80	110	140	160	30	0	10	11	12	[{30002,2}]	voice_30002	word_fengyunanyong
30004	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	老实敦厚的矮人，性格温和与人和善。傻乎乎的他们不拘小节，善于使用火药枪械，精准的技术和敦实的体格成为了他们与邪恶斗争最强的武器！	酒馆获取	1	2	503	80	矮人火枪	228	1500	80	140	140	90	120	180	70	0	4	5	6	[{30004,2}]	voice_30004	word_danyulaixi
30005	1	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	他出身名门，终身守护着他们的道义与信仰，剑是他一生的伴侣与兄弟。当邪恶降临他第一个站了出来，为了的只是一句苍白的誓言！	酒馆获取	2	3	504	80	剑圣	235	1700	100	100	100	100	100	100	100	0	16	17	18	[{30005,2}]	voice_30005	word_wudizhan
30006	3	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	丛林的孩子，野兽的使者，他是所有萌兽的领袖。战事摧残着他深爱的丛林，邪恶的气息感染着他的子民。他又怎能视而不见！	酒馆获取	1	1	505	80	兽王	150	2700	120	100	60	80	80	90	160	0	25	26	27	[{30006,2}]	voice_30006	word_yexingnuhou
30007	3	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	他从黑暗中走来，带着沉寂的气息，他疯狂的追逐着黑暗魔法的力量，这也让他有了与众不同的味道，耳边就会伴随着低语，等待死亡的气息！	酒馆获取	2	3	507	80	痛苦术士	187	2200	160	40	120	70	60	50	60	0	22	23	24	[{30007,2}]	voice_30007	word_siwangkongju
30008	2	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	谦逊，坦诚的他万万没想到安逸的日子会那么短暂，凝重的眼神透露出他处之泰然的大将之风，厚如城墙的身躯担负着整个大陆的命运！	酒馆获取	2	3	506	80	牛头酋长	123	3200	180	80	120	50	50	50	180	0	13	14	15	[{30008,2}]	voice_30008	word_zhanzhengjianta
30009	3	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	图腾与自然之间的使者。狼是他力量源泉的图腾，也是他灵魂的伴侣。处女座的他怎能容忍邪恶的力量污染了他那纯粹的灵魂之力！	酒馆获取	3	4	509	80	萨满	282	1600	80	20	100	120	120	110	70	0	19	20	21	[{30009,2}]	voice_30009	word_xianzuzhihun
30010	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	他是德鲁伊大祭司，长久以来接受着自然之母的召唤与庇护，净化的心灵使他无比的憎恨腐烂与死亡，在他统治的森林里，只有纯粹的“生命”！	酒馆获取	1	2	510	80	树人	160	2500	100	130	60	80	80	80	170	0	28	29	30	[{30010,2}]	voice_30010	word_ningjingzhiyu
