rarity	quality	type	price
1	1	2	50
1	2	2	375
1	3	2	890
1	4	2	1608
1	5	2	2626
1	6	2	3644
1	7	2	5162
2	1	2	100
2	2	2	450
2	3	2	980
2	4	2	1716
2	5	2	2752
2	6	2	3788
2	7	2	5324
3	1	2	200
3	2	2	600
3	3	2	1160
3	4	2	1932
3	5	2	3004
3	6	2	4076
3	7	2	5648
4	1	2	300
4	2	2	750
4	3	2	1340
4	4	2	2148
4	5	2	3256
4	6	2	4364
4	7	2	5972
5	1	2	400
5	2	2	900
5	3	2	1520
5	4	2	2364
5	5	2	3508
5	6	2	4652
5	7	2	6296
6	1	2	500
6	2	2	1050
6	3	2	1700
6	4	2	2580
6	5	2	3760
6	6	2	4940
6	7	2	6620
7	1	2	600
7	2	2	1200
7	3	2	1880
7	4	2	2796
7	5	2	4012
7	6	2	5228
7	7	2	6944
8	1	2	1000
8	2	2	1800
8	3	2	2600
8	4	2	3660
8	5	2	5020
8	6	2	6380
8	7	2	8240
