id	star
30001	{108,107.5,106.9,106.5,106.1}
30002	{108,107.5,106.9,106.5,106.1}
30003	{110,109.1,108.4,107.7,107.2}
30004	{116,113.8,112.2,110.9,109.8}
30005	{112,110.8,109.7,108.9,108.2}
30006	{108,107.5,106.9,106.5,106.1}
30007	{112,110.8,109.7,108.9,108.2}
30008	{112,110.8,109.7,108.9,108.2}
30009	{114,112.3,111,109.9,109}
30010	{110,109.1,108.4,107.7,107.2}
30011	{116,113.8,112.2,110.9,109.8}
30012	{118,115.3,113.3,111.7,110.5}
30013	{120,116.7,114.3,112.5,111.2}
30014	{116,113.8,112.2,110.9,109.8}
30015	{120,116.7,114.3,112.5,111.2}
30016	{118,115.3,113.3,111.7,110.5}
30017	{114,112.3,111,109.9,109}
30018	{114,112.3,111,109.9,109}
30019	{110,109.1,108.4,107.7,107.2}
30020	{114,112.3,111,109.9,109}
30021	{114,112.3,111,109.9,109}
30022	{118,115.3,113.3,111.7,110.5}
30023	{120,116.7,114.3,112.5,111.2}
30024	{118,115.3,113.3,111.7,110.5}
30025	{120,116.7,114.3,112.5,111.2}
30026	{122,118.1,115.3,113.3,122.4}
39999	{110,109.1,108.4,107.7,107.2}
39998	{110,109.1,108.4,107.7,107.2}
