level	quality	exp	coin	provide
1	1	5	500	6
2	1	10	500	11
3	1	20	500	21
4	1	0	500	41
1	2	35	600	18
2	2	54	600	53
3	2	72	600	107
4	2	90	600	179
5	2	540	600	269
6	2	0	600	809
1	3	108	800	54
2	3	162	800	162
3	3	216	800	324
4	3	270	800	540
5	3	324	800	810
6	3	378	800	1134
7	3	432	800	1512
8	3	486	800	1944
9	3	0	800	2430
1	4	324	1000	162
2	4	486	1000	486
3	4	648	1000	972
4	4	810	1000	1620
5	4	972	1000	2430
6	4	1134	1000	3402
7	4	1296	1000	4536
8	4	1458	1000	5832
9	4	1620	1000	7290
10	4	1782	1000	8910
11	4	1944	1000	10692
12	4	0	1000	12636
1	5	700	1200	350
2	5	1050	1200	1050
3	5	1400	1200	2100
4	5	1750	1200	3500
5	5	2100	1200	5250
6	5	2450	1200	7350
7	5	2800	1200	9800
8	5	3150	1200	12600
9	5	3500	1200	15750
10	5	3850	1200	19250
11	5	4200	1200	23100
12	5	4550	1200	27300
13	5	4900	1200	31850
14	5	5250	1200	36750
15	5	0	1200	42000
