id	chapterID	chapterName	chapterScope	pointID	pointName	scene	bgm	boss_level	boss_seat	boss_type	points_ico	pco_effect	guide_level	guide_equip	guide_strengthen	guide_quality	guide_gem	guide_gem_level
1	1	1	1,24	1	1 潜入	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	1	0	24	1	0	0
2	2	2	25,45	2	2 追杀	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	1	0	24	1	0	0
3	3	3	46,66	3	3 萨满柯兰萨	map_022	battle_bgm_volcano	1	5	3	ui_zhuxian_boss_shouren	effect_jingjichangtishi	2	0	24	1	0	0
4	4	4	67,87	4	4 清剿	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	2	0	24	1	0	0
5	5	5	88,108	5	5 突袭	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	3	0	24	1	0	0
6	6	6	109,129	6	6 焰喉	map_022	battle_bgm_volcano	1	5	3	ui_zhuxian_boss_yeshou	effect_jingjichangtishi	4	0	24	2	0	0
7	7	7	130,153	7	7 斥候撒克隆	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	5	0	28	2	0	0
8	8	8	154,174	8	8 阻挠	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	4	8	28	2	0	0
9	9	9	175,198	9	9 熔岩戈多斯	map_022	battle_bgm_volcano	2	5	3	ui_zhuxian_bigboss_shourenjiangjun	effect_jingjichangtishi	7	16	28	2	0	0
10	10	10	199,222	10	10 精神压制	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	10	28	28	2	0	0
11	11	11	223,246	11	11 轻敌	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	13	36	28	2	0	0
12	12	12	247,264	12	12 考布莱恩	map_007	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_anye	effect_jingjichangtishi	16	44	28	2	0	0
13				13	13 祈祷之台	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	19	52	28	2	0	0
14				14	14 誓死守卫	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	22	60	28	3	0	0
15				15	15 克雷什	map_007	battle_bgm_ghostdom	1	2	3	ui_zhuxian_boss_yeshou	effect_jingjichangtishi	25	68	32	3	0	0
16				16	16 第一波冲击	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	28	76	32	4	0	0
17				17	17 第二波冲击	map_007	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	31	84	32	4	0	0
18				18	18 穆坦努斯	map_007	battle_bgm_ghostdom	2	5	3	ui_zhuxian_bigboss_yuren	effect_jingjichangtishi	34	92	32	4	0	0
19				19	19 整装待发	map_011	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	37	100	32	4	0	0
20				20	20 拯救	map_011	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	40	112	32	4	0	0
21				21	21 范克里夫	map_011	battle_bgm_dugout	1	8	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	43	120	32	4	0	0
22				22	22 战略转移	map_011	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	46	128	32	4	0	0
23				23	23 暗巷	map_011	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	49	136	36	4	0	0
24				24	24 “船长”曲奇	map_011	battle_bgm_dugout	2	8	3	ui_zhuxian_bigboss_yuren	effect_jingjichangtishi	52	144	36	4	0	0
25				25	25 硝烟四起	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	55	152	36	4	0	0
26				26	26 迫在眉睫	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	58	160	36	4	0	0
27				27	27 萨利维丝	map_012	battle_bgm_ghostdom	1	5	3	ui_zhuxian_boss_najia	effect_jingjichangtishi	61	168	36	5	0	0
28				28	28 杀戮之地	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	64	176	36	5	0	0
29				29	29 退却	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	67	184	36	5	0	0
30				30	30 阿库麦尔	map_012	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_yeshou	effect_jingjichangtishi	70	196	40	5	0	0
31				31	31 真正的希望	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	73	204	40	5	0	0
32				32	32 曙光	map_012	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	76	212	40	5	0	0
33				33	33 克尔里斯	map_012	battle_bgm_ghostdom	2	5	3	ui_zhuxian_bigboss_yuanzhang	effect_jingjichangtishi	79	220	40	5	0	0
34				34	34 变化	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	82	228	40	5	0	0
35				35	35 不败意志	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	85	236	40	5	0	0
36				36	36 霍格	map_003	battle_bgm_dugout	1	2	3	ui_zhuxian_boss_shouren	effect_jingjichangtishi	88	244	40	5	0	0
37				37	37 小波的阻碍	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	91	252	40	5	0	0
38				38	38 全面冲击	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	94	260	40	6	0	0
39				39	39 灼热勋爵	map_003	battle_bgm_dugout	1	8	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	97	268	40	6	15	15
40				40	40 利剑的撕扯	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	100	280	40	6	15	15
41				41	41 斩首	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	102	284	44	6	15	15
42				42	42 巴基尔	map_003	battle_bgm_dugout	1	8	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	104	288	44	6	15	15
43				43	43 对与错	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	106	296	44	6	15	15
44				44	44 往事	map_003	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	108	300	44	6	15	15
45				45	45 哈姆霍克	map_003	battle_bgm_dugout	2	5	3	ui_zhuxian_bigboss_shirenmoguowang	effect_jingjichangtishi	110	308	44	6	15	15
46				46	46 悲伤的大地	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	112	312	44	6	15	15
47				47	47 绝望？失望？	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	114	316	44	6	15	15
48				48	48 法师阿鲁高	map_001	battle_bgm_town	1	8	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	116	324	44	6	25	15
49				49	49 惨叫与哀鸣	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	118	328	44	7	25	15
50				50	50 不死生物	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	120	336	44	7	25	15
51				51	51 死亡之誓	map_001	battle_bgm_town	1	2	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	122	340	44	7	25	15
52				52	52 不详之路	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	124	344	48	7	25	15
53				53	53 威胁？	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	126	352	48	7	25	15
54				54	54 拉佐克劳	map_001	battle_bgm_town	1	8	3	ui_zhuxian_boss_langren	effect_jingjichangtishi	128	356	48	7	25	15
55				55	55 暗影来袭	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	130	364	48	8	25	15
56				56	56 不自量力	map_001	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	132	368	48	8	25	15
57				57	57 席瓦莱恩	map_001	battle_bgm_town	2	2	3	ui_zhuxian_bigboss_yuanzhang	effect_jingjichangtishi	134	372	48	8	25	15
58				58	58 痛恨	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	136	380	48	8	25	15
59				59	59 悲凉的尸体	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	138	384	48	8	25	15
60				60	60 格鲁比斯	map_006	battle_bgm_dugout	1	5	3	ui_zhuxian_boss_airen	effect_jingjichangtishi	139	388	52	9	25	15
61				61	61 线索	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	140	392	52	9	25	15
62				62	62 强力部队？	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	141	392	52	9	25	15
63				63	63 瑟玛普拉格	map_006	battle_bgm_dugout	1	2	3	ui_zhuxian_boss_jixie	effect_jingjichangtishi	142	396	52	9	25	15
64				64	64 浓烈	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	143	400	52	9	25	15
65				65	65 反叛	map_006	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	144	400	56	9	25	15
66				66	66 群体打击者	map_006	battle_bgm_dugout	2	8	3	ui_zhuxian_bigboss_jiqiren	effect_jingjichangtishi	145	404	56	9	25	15
67				67	67 前进	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	146	408	56	10	25	15
68				68	68 野蛮之力	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	147	408	56	10	25	15
69				69	69 布兰恩	map_015	battle_bgm_dugout	1	2	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	148	412	60	10	35	15
70				70	70 邪教	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	150	420	60	10	35	15
71				71	71 不祥之兆	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	151	420	60	10	35	15
72				72	72 孔格勒	map_015	battle_bgm_dugout	1	5	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	152	424	60	10	35	15
73				73	73 疑团	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	153	428	60	11	35	15
74				74	74 跟踪	map_015	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	154	428	60	11	35	15
75				75	75 赫洛德	map_015	battle_bgm_dugout	2	8	3	ui_zhuxian_bigboss_kuangzhanshi	effect_jingjichangtishi	155	432	60	11	35	15
76				76	76 不容忽视	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	156	436	60	11	35	15
77				77	77 寻找真相	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	157	436	64	12	35	15
78				78	78 萨尔诺斯	map_008	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	158	440	64	12	35	15
79				79	79 新的线索	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	159	444	64	12	50	20
80				80	80 善与恶？	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	160	448	64	12	50	20
81				81	81 死灵勇士	map_008	battle_bgm_ghostdom	1	2	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	161	448	64	12	50	20
82				82	82 真正的杀气	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	162	452	4	12	50	20
83				83	83 暴露	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	163	456	68	13	50	20
84				84	84 奥法师杜安	map_008	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_renlei	effect_jingjichangtishi	164	456	68	13	50	20
85				85	85 血色之路	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	165	460	68	13	50	20
86				86	86 回音教堂	map_008	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	166	464	68	13	50	20
87				87	87 狗男女	map_008	battle_bgm_ghostdom	2	7	3	ui_zhuxian_bigboss_gounannv	effect_jingjichangtishi	167	464	68	13	50	20
88				88	88 游魂	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	168	468	68	13	50	20
89				89	89 野鬼	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	169	472	68	14	50	20
90				90	90 贾格巴	map_014	battle_bgm_forest	1	8	3	ui_zhuxian_boss_haozhuren	effect_jingjichangtishi	170	476	72	14	50	20
91				91	91 围墙之下	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	171	476	72	14	50	20
92				92	92 残存的意志	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	172	480	72	14	50	20
93				93	93 阿格姆	map_014	battle_bgm_forest	1	2	3	ui_zhuxian_boss_haozhuren	effect_jingjichangtishi	173	484	72	14	50	20
94				94	94 决战当前	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	174	484	72	14	50	20
95				95	95 纠结之战	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	175	488	76	14	50	20
96				96	96 拉姆塔斯	map_014	battle_bgm_forest	1	8	3	ui_zhuxian_boss_haozhuren	effect_jingjichangtishi	176	492	76	15	50	20
97				97	97 能量	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	177	492	76	15	50	20
98				98	98 玷污	map_014	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	178	496	76	15	50	20
99				99	99 卡尔加刺肋	map_014	battle_bgm_forest	2	5	3	ui_zhuxian_bigboss_haozhuren	effect_jingjichangtishi	179	500	76	15	50	20
100				100	100 生命之水	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	185	516	76	15	50	20
101				101	101 波光暗影	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	186	520	80	15	50	20
102				102	102 诺克塞恩	map_020	battle_bgm_forest	1	8	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	187	520	80	15	65	20
103				103	103 生命之源	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	188	524	80	16	65	20
104				104	104 自然使者	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	189	528	80	16	65	20
105				105	105 兰斯利德	map_020	battle_bgm_forest	1	5	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	190	532	80	16	65	20
106				106	106 变异	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	191	532	80	16	65	20
107				107	107 突袭	map_020	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	192	536	80	16	65	20
108				108	108 公主	map_020	battle_bgm_forest	2	5	3	ui_zhuxian_bigboss_gongzhu	effect_jingjichangtishi	193	540	80	16	65	20
109				109	109 失踪的勇士	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	194	540	84	16	65	20
110				110	110 路途	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	195	544	84	16	65	20
111				111	111 失踪的矮人	map_018	battle_bgm_dugout	1	8	3	ui_zhuxian_boss_airen	effect_jingjichangtishi	196	548	84	16	65	20
112				112	112 加速行军	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	197	548	84	16	65	20
113				113	113 突袭	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	198	552	84	16	65	20
114				114	114 远古卫士	map_018	battle_bgm_dugout	1	8	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	199	556	88	17	65	20
115				115	115 皇家卫队	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	200	560	88	17	75	20
116				116	116 残兵败将	map_018	battle_bgm_dugout			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	201	560	88	17	75	20
