type	id	coin	diamond	hero	tid_num	resign_cost
1	1	10000	10		[{14041,8},{13002,2},{3,2},{30005,1}]	0
1	2	25000	50		[{10102,5},{13002,2},{3,2},{30005,1}]	60
1	3	40000	100		[{10103,5},{3,2},{30005,1}]	120
1	4	55000	120		[{10103,5},{3,2},{30005,1}]	180
1	5	70000	150		[{10103,8},{3,2},{14042,8},{30005,1}]	240
1	6	85000	200		[{10104,10},{3,2},{30005,1}]	300
1	7	99999	666		[{10104,20},{3,2},{30005,1}]	0
2	1	3000	10		[{10101,5},{3,1},{30005,1}]	0
2	2	8000	20		[{10102,5},{3,1},{30005,1}]	42
2	3	13000	30		[{10103,5},{3,1},{30005,1}]	84
2	4	18000	40		[{10104,5},{3,1},{30005,1}]	125
2	5	23000	50		[{10105,5},{3,1},{30005,1}]	168
2	6	28000	60		[{10105,7},{3,2},{30005,1}]	210
2	7	50000	80		[{10105,10},{3,2},{30005,1}]	0
