id	index	target	pos	caption
1	1	28	2	我的魔法会把你燃烧殆尽
2	2	104	2	咆哮和火焰，让我立于不败之地
3	3	26	2	我，越战越勇
4	4	60	2	你没有办法击败我们
5	5	110	2	防御，就是最好的攻击
6	6	223	2	网住你们，然后攻击，就像捕鱼一样
7	7	6	2	杀人，只需要在对方没有知觉的时候来一下
8	8	58	2	网住你们，然后攻击，就像捕鱼一样
9	9	29	2	只要有祭师在，娜迦族勇士所向无敌
10	10	113	2	咆哮和火焰，让我立于不败之地
11	11	115	2	我的魔法会把你燃烧殆尽
12	12	108	2	啪的一下，把你砸成肉酱
13	13	98	2	用我的火焰把你烧成灰
14	14	117	2	一刀两断
15	15	72	2	攻防一体，我就是全能的存在
16	16	61	2	魔法，就是我的生存之道
17	17	15	2	冲啊，杀掉他们
18	18	93	2	我会用爪子抓住猎物，然后把他们撕成碎片
19	19	20	2	在我的力量面前，你的挣扎时毫无意义的
20	20	40	2	我会把你们砸得比我更矮
21	21	120	2	这是我最高的发明，无论进攻还是防守都是完美的
22	22	222	2	这是我最高的发明，无论进攻还是防守都是完美的
23	23	20	2	在我的力量面前，你的挣扎时毫无意义的
24	24	23	2	我操控所有的魔法，无论是我的，还是你的
25	25	19	2	攻击攻击再攻击，这就是胜利的真谛
26	26	46	2	魔法的力量，在我的掌控之下
27	27	123	2	敲碎你们！！！！
28	28	125	2	把你控制住，然后再慢慢折磨
29	29	211	2	攻击和治愈，最完美的结合
30	30	127	2	别以为我只有蛮力！！
31	31	129	2	我胖，但我并不是只有力量！！
32	32	131	2	别以为躲在后面我就打不到你！！
33	33	133	2	在魔法的面前，所有生物都是平等的
34	34	107	2	毁灭在大自然的力量之下吧
35	35	218	2	我会砸扁你！！！
36	36	71	2	挡在我面前的一切都会被压扁！！！
37	37	37	2	只要我还在，我们就是不灭的！！！
38	38	139	2	岩石，是永恒的存在！！！
39	39	140	2	把你们砸成肉饼！！！
40	40	100	2	你以为在我的网里面，你还能战胜我吗？？
41	41	141	2	把你切成碎片！！！
42	42	220	2	力量，力量！！！！
43	43	221	2	我深知魔法的奥秘！！！
44	44	86	2	不用害怕，我会治愈一切伤痛
45	45	146	2	咆哮和火焰，让我立于不败之地
46	46	87	2	用魔法把你们毁灭！！！
47	47	84	2	用魔法把你们毁灭！！！
48	48	67	2	森林的力量，让你见识一下！！！
49	49	148	2	大自然之威！！
50	50	150	2	战胜伤痛，我们就能战胜敌人
51	51	151	2	去吧，把他们砸成肉饼！！！
52	52	41	2	虽然我还小，但我已经拥有龙类的力量！！！
53	53	51	2	让我的魔法毁灭你！！
54	54	44	2	你只是蝼蚁！！！消失吧！！！
55	55	9	2	你觉得自己变弱了吗？？那就对了
56	56	158	2	我要把你切成碎片！！！
57	57	4	2	下一个瞬间，你已经死了！！
58	58	159	2	我的寒冷，连空气也颤抖！！！
59	59	161	2	谁也不能阻挡我们的去路！！！
60	60	163	2	燃烧吧，那我就会越来越强大！！！
61	61	39	2	说我们是矮子？？我会让你比我更矮！！！
62	62	166	2	我会变得更强大，而你们，会死在这里！！
63	63	168	2	魔法的力量，就是元素的力量！！
64	64	170	2	死亡，会让我更强大
65	65	77	2	用力量啦碾压你们！！！
66	66	2	2	不死军团的强大，你马上就会知道了！！！
67	67	174	2	碾碎你们，好比碾碎一只蚂蚁！！！
68	68	176	2	我都蛛丝会让你们无法动弹！！
69	69	178	2	一棒子把你们打蒙，然后再吃掉！！
70	70	180	2	蝼蚁不要阻挡我们的去路。
71	71	182	2	兽人军团，比你想象中更强大！！！
72	72	182	2	把龙带过来，毁灭他们！！
73	73	105	2	你知道吗？？你惹怒了一条龙！！！
74	74	103	2	在我们的力量面前，等待你的只有死亡！！
