type	level	coin	tired	rise
1	1	1300	0	1.22
1	2	1560	0	1.17
1	3	2028	0	1.14
1	4	2637	0	1.13
1	5	3428	0	1.12
1	6	4799	60	1.11
1	7	6238	180	1.1
1	8	8110	300	1.09
1	9	10542	1000	1.09
1	10	11705	2000	1.09
1	11	12816	2500	1.09
1	12	14161	3600	1.09
1	13	16793	4200	1.09
1	14	17572	5000	1.09
1	15	18754	8000	1.09
2	1	1300	0	1.22
2	2	1560	0	1.17
2	3	2028	0	1.14
2	4	2637	0	1.13
2	5	3428	0	1.12
2	6	4799	60	1.11
2	7	6238	180	1.1
2	8	8110	300	1.09
2	9	10542	1000	1.09
2	10	11705	2000	1.09
2	11	12816	2500	1.09
2	12	14161	3600	1.09
2	13	16793	4200	1.09
2	14	17572	5000	1.09
2	15	18754	8000	1.09
3	1	1300	0	1.22
3	2	1560	0	1.17
3	3	2028	0	1.14
3	4	2637	0	1.13
3	5	3428	0	1.12
3	6	4799	60	1.11
3	7	6238	180	1.1
3	8	8110	300	1.09
3	9	10542	1000	1.09
3	10	11705	2000	1.09
3	11	12816	2500	1.09
3	12	14161	3600	1.09
3	13	16793	4200	1.09
3	14	17572	5000	1.09
3	15	18754	8000	1.09
4	1	1300	0	1.22
4	2	1560	0	1.17
4	3	2028	0	1.14
4	4	2637	0	1.13
4	5	3428	0	1.12
4	6	4799	60	1.11
4	7	6238	180	1.1
4	8	8110	300	1.09
4	9	10542	1000	1.09
4	10	11705	2000	1.09
4	11	12816	2500	1.09
4	12	14161	3600	1.09
4	13	16793	4200	1.09
4	14	17572	5000	1.09
4	15	18754	8000	1.09
5	1	1300	0	1.22
5	2	1560	0	1.17
5	3	2028	0	1.14
5	4	2637	0	1.13
5	5	3428	0	1.12
5	6	4799	60	1.11
5	7	6238	180	1.1
5	8	8110	300	1.09
5	9	10542	1000	1.09
5	10	11705	2000	1.09
5	11	12816	2500	1.09
5	12	14161	3600	1.09
5	13	16793	4200	1.09
5	14	17572	5000	1.09
5	15	18754	8000	1.09
6	1	1300	0	1.22
6	2	1560	0	1.17
6	3	2028	0	1.14
6	4	2637	0	1.13
6	5	3428	0	1.12
6	6	4799	60	1.11
6	7	6238	180	1.1
6	8	8110	300	1.09
6	9	10542	1000	1.09
6	10	11705	2000	1.09
6	11	12816	2500	1.09
6	12	14161	3600	1.09
6	13	16793	4200	1.09
6	14	17572	5000	1.09
6	15	18754	8000	1.09
7	1	1300	0	1.22
7	2	1560	0	1.17
7	3	2028	0	1.14
7	4	2637	0	1.13
7	5	3428	0	1.12
7	6	4799	60	1.11
7	7	6238	180	1.1
7	8	8110	300	1.09
7	9	10542	1000	1.09
7	10	11705	2000	1.09
7	11	12816	2500	1.09
7	12	14161	3600	1.09
7	13	16793	4200	1.09
7	14	17572	5000	1.09
7	15	18754	8000	1.09
8	1	1300	0	1.22
8	2	1560	0	1.17
8	3	2028	0	1.14
8	4	2637	0	1.13
8	5	3428	0	1.12
8	6	4799	60	1.11
8	7	6238	180	1.1
8	8	8110	300	1.09
8	9	10542	1000	1.09
8	10	11705	2000	1.09
8	11	12816	2500	1.09
8	12	14161	3600	1.09
8	13	16793	4200	1.09
8	14	17572	5000	1.09
8	15	18754	8000	1.09
9	1	1300	0	1.22
9	2	1560	0	1.17
9	3	2028	0	1.14
9	4	2637	0	1.13
9	5	3428	0	1.12
9	6	4799	60	1.11
9	7	6238	180	1.1
9	8	8110	300	1.09
9	9	10542	1000	1.09
9	10	11705	2000	1.09
9	11	12816	2500	1.09
9	12	14161	3600	1.09
9	13	16793	4200	1.09
9	14	17572	5000	1.09
9	15	18754	8000	1.09
10	1	1300	0	1.22
