level	stone	rate
1	10101	1650
1	10102	3300
1	10103	6600
1	10104	13200
1	10105	26400
1	10106	52800
1	10107	105600
1	10108	211200
1	10109	422400
2	10101	520
2	10102	1620
2	10103	3220
2	10104	6420
2	10105	12820
2	10106	25620
2	10107	51220
2	10108	102420
2	10109	204820
3	10101	370
3	10102	710
3	10103	1510
3	10104	3010
3	10105	6010
3	10106	12010
3	10107	24010
3	10108	48010
3	10109	96010
4	10101	110
4	10102	310
4	10103	710
4	10104	1510
4	10105	3010
4	10106	6010
4	10107	12010
4	10108	24010
4	10109	48010
5	10101	80
5	10102	150
5	10103	310
5	10104	710
5	10105	1510
5	10106	3010
5	10107	6010
5	10108	12010
5	10109	24010
6	10101	40
6	10102	70
6	10103	160
6	10104	310
6	10105	710
6	10106	1510
6	10107	3010
6	10108	6010
6	10109	12010
7	10101	40
7	10102	60
7	10103	110
7	10104	200
7	10105	390
7	10106	760
7	10107	1510
7	10108	3010
7	10109	6010
8	10101	20
8	10102	40
8	10103	60
8	10104	110
8	10105	200
8	10106	390
8	10107	760
8	10108	1510
8	10109	3010
9	10101	20
9	10102	20
9	10103	40
9	10104	60
9	10105	110
9	10106	200
9	10107	390
9	10108	760
9	10109	1510
10	10101	20
10	10102	20
10	10103	20
10	10104	40
10	10105	60
10	10106	110
10	10107	200
10	10108	390
10	10109	760
11	10101	#NUM!
11	10102	20
11	10103	20
11	10104	30
11	10105	50
11	10106	80
11	10107	140
11	10108	270
11	10109	540
12	10101	#NUM!
12	10102	#NUM!
12	10103	20
12	10104	20
12	10105	40
12	10106	60
12	10107	100
12	10108	200
12	10109	380
13	10101	#NUM!
13	10102	#NUM!
13	10103	20
13	10104	20
13	10105	30
13	10106	40
13	10107	80
13	10108	140
13	10109	270
14	10101	#NUM!
14	10102	#NUM!
14	10103	#NUM!
14	10104	20
14	10105	20
14	10106	30
14	10107	60
14	10108	100
14	10109	190
15	10101	#NUM!
15	10102	#NUM!
15	10103	#NUM!
15	10104	#NUM!
15	10105	20
15	10106	30
15	10107	40
15	10108	70
15	10109	140
