id	type	name	icon	start	next	caption	conditionType	condition	goodsType	values
1	2	英雄之证	icon_chengjiu_001	1	2	有英雄达到2级	1	2	5	{30001,1}
2	2	英雄之证	icon_chengjiu_001		3	有英雄达到5级	1	5	114005	1
3	2	英雄之证	icon_chengjiu_001		4	有英雄达到8级	1	8	114007	1
4	2	英雄之证	icon_chengjiu_001		5	有英雄达到15级	1	15	114011	1
5	2	英雄之证	icon_chengjiu_001		6	有英雄达到20级	1	20	13003	10
6	2	英雄之证	icon_chengjiu_001		7	有英雄达到28级	1	28	114023	1
7	2	英雄之证	icon_chengjiu_001		8	有英雄达到35级	1	35	114033	1
8	2	英雄之证	icon_chengjiu_001		9	有英雄达到40级	1	40	114039	1
9	2	英雄之证	icon_chengjiu_001		10	有英雄达到45级	1	45	114045	1
10	2	英雄之证	icon_chengjiu_001		11	有英雄达到50级	1	50	114047	1
11	2	英雄之证	icon_chengjiu_001		12	有英雄达到55级	1	55	2	150
12	2	英雄之证	icon_chengjiu_001			有英雄达到60级	1	60	2	250
13	1	试炼	icon_chengjiu_002	1	14	战胜一次银牙城堡的困难难度	2	1	2	10
14	1	试炼	icon_chengjiu_002		15	战胜五次银牙城堡的困难难度	2	5	1	40000
15	1	试炼	icon_chengjiu_002		16	战胜十次银牙城堡的困难难度	2	10	2	20
16	1	试炼	icon_chengjiu_002		17	战胜二十次银牙城堡的困难难度	2	20	1	60000
17	1	试炼	icon_chengjiu_002		18	战胜五十次银牙城堡的困难难度	2	50	2	30
18	1	试炼	icon_chengjiu_002			战胜一百次次银牙城堡的困难难度	2	100	1	80000
19	1	荣耀进阶	icon_chengjiu_003	1	20	战胜一次血色教堂的困难难度	3	1	2	30
20	1	荣耀进阶	icon_chengjiu_003		21	战胜五次血色教堂的困难难度	3	5	1	70000
21	1	荣耀进阶	icon_chengjiu_003		22	战胜十次血色教堂的困难难度	3	10	2	45
22	1	荣耀进阶	icon_chengjiu_003		23	战胜二十次血色教堂的困难难度	3	20	1	90000
23	1	荣耀进阶	icon_chengjiu_003		24	战胜五十次血色教堂的困难难度	3	50	2	50
24	1	荣耀进阶	icon_chengjiu_003			战胜一百次次血色教堂的困难难度	3	100	1	110000
25	1	无尽杀戮	icon_chengjiu_004	1	26	战胜一次祖尔遗迹的困难难度	4	1	2	40
26	1	无尽杀戮	icon_chengjiu_004		27	战胜五次祖尔遗迹的困难难度	4	5	1	100000
27	1	无尽杀戮	icon_chengjiu_004		28	战胜十次祖尔遗迹的困难难度	4	10	2	50
28	1	无尽杀戮	icon_chengjiu_004		29	战胜二十次祖尔遗迹的困难难度	4	20	1	140000
29	1	无尽杀戮	icon_chengjiu_004		30	战胜五十次祖尔遗迹的困难难度	4	50	2	80
30	1	无尽杀戮	icon_chengjiu_004			战胜一百次次祖尔遗迹的困难难度	4	100	1	180000
31	1	天神之使	icon_chengjiu_005	1	32	战胜一次厄运王国的困难难度	5	1	2	60
32	1	天神之使	icon_chengjiu_005		33	战胜五次厄运王国的困难难度	5	5	1	120000
33	1	天神之使	icon_chengjiu_005		34	战胜十次厄运王国的困难难度	5	10	2	70
34	1	天神之使	icon_chengjiu_005		35	战胜二十次厄运王国的困难难度	5	20	1	150000
35	1	天神之使	icon_chengjiu_005		36	战胜五十次厄运王国的困难难度	5	50	2	80
36	1	天神之使	icon_chengjiu_005			战胜一百次次厄运王国的困难难度	5	100	1	200000
37	1	屠魔者	icon_chengjiu_006	1	38	战胜一次斯坦索姆的困难难度	6	1	2	80
38	1	屠魔者	icon_chengjiu_006		39	战胜五次斯坦索姆的困难难度	6	5	1	150000
39	1	屠魔者	icon_chengjiu_006		40	战胜十次斯坦索姆的困难难度	6	10	2	100
40	1	屠魔者	icon_chengjiu_006		41	战胜二十次斯坦索姆的困难难度	6	20	1	180000
41	1	屠魔者	icon_chengjiu_006		42	战胜五十次斯坦索姆的困难难度	6	50	2	120
42	1	屠魔者	icon_chengjiu_006			战胜一百次次斯坦索姆的困难难度	6	100	1	240000
43	1	弑神者	icon_chengjiu_007	1	44	战胜一次黑石之翼的困难难度	7	1	2	100
44	1	弑神者	icon_chengjiu_007		45	战胜五次黑石之翼的困难难度	7	5	1	200000
45	1	弑神者	icon_chengjiu_007		46	战胜十次黑石之翼的困难难度	7	10	2	150
46	1	弑神者	icon_chengjiu_007		47	战胜二十次黑石之翼的困难难度	7	20	1	300000
47	1	弑神者	icon_chengjiu_007		48	战胜五十次黑石之翼的困难难度	7	50	2	200
48	1	弑神者	icon_chengjiu_007			战胜一百次次黑石之翼的困难难度	7	100	1	500000
49	1	传教士	icon_chengjiu_008	1	50	击破兽人大军的围剿完成第一章节	8	1	114015	1
50	1	传教士	icon_chengjiu_008		51	破获银牙城堡的谜团完成第二章节	8	2	113021	1
51	1	传教士	icon_chengjiu_008		52	发现血色教堂的秘密完成第三章节	8	3	113029	1
52	1	传教士	icon_chengjiu_008		53	探索金字塔遗迹完成第四章节	8	4	113037	1
53	1	传教士	icon_chengjiu_008		54	穿越迷雾之森完成第五章节	8	5	5	{30006,2}
54	1	传教士	icon_chengjiu_008		55	征服食人魔领地完成第六章节	8	6	113045	1
55	1	传教士	icon_chengjiu_008		56	破坏死亡之墓完成第七章节	8	7	113047	1
56	1	传教士	icon_chengjiu_008		57	净化斯坦索姆完成第八章节	8	8	2	50
57	1	传教士	icon_chengjiu_008			大破黑龙大军完成第九章节	8	9	2	100
73	2	统帅	icon_chengjiu_010	1	74	拥有3个15级以上的英雄	10	3	1	70000
74	2	统帅	icon_chengjiu_010		75	拥有5个15级以上的英雄	10	5	1	100000
75	2	统帅	icon_chengjiu_010		76	拥有7个15级以上的英雄	10	7	1	150000
76	2	统帅	icon_chengjiu_010		77	拥有10个15级以上的英雄	10	10	1	200000
77	2	统帅	icon_chengjiu_010			拥有15个15级以上的英雄	10	15	1	300000
78	2	领导者	icon_chengjiu_011	1	79	拥有3个30级以上的英雄	11	3	1	150000
79	2	领导者	icon_chengjiu_011		80	拥有5个30级以上的英雄	11	5	1	200000
80	2	领导者	icon_chengjiu_011		81	拥有7个30级以上的英雄	11	7	1	250000
81	2	领导者	icon_chengjiu_011		82	拥有10个30级以上的英雄	11	10	1	300000
82	2	领导者	icon_chengjiu_011			拥有15个30级以上的英雄	11	15	1	500000
83	2	领袖	icon_chengjiu_012	1	84	拥有3个45级以上的英雄	12	3	2	150
84	2	领袖	icon_chengjiu_012		85	拥有5个45级以上的英雄	12	5	2	250
85	2	领袖	icon_chengjiu_012		86	拥有7个45级以上的英雄	12	7	2	300
