id	val
init_gold	0
init_diamond	0
tired_max	100
tired_power	240
diamond_per_min	0.5
refresh_time	4500
qifuxiaohao	10
qifu	2000
total_exp	9412860
equipPageMax	5
propsPageMax	5
materialPageMax	5
arena_start	50
arenaCd	2400
arena_revenge	3
arenaBattleMax	5
arenaBuy	5
fb_max1	15
fb_max2	7
fb_max3	4
fb_cd1	300
fb_cd2	1800
fb_cd3	5400
starCumulative	20
starBack	1000
daily	5
version_update	"szturbotech.com"
version	"1.4.0"
maxHero	16
purgeGuide	9
tavernGuide	19
fbGuide	30
arenaGuide	40
weixinShare	86400
luckyGuide	60
chatTime	5
