type	picture	name	phase	sort	tab	seat	quality	strenthenCoinFactor	strenthenSuccessFactor	strenthenSuccessFactor	limitLevel	Price	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	state	desc	maxSocket	limitHero	avatar
999999	icon_101025	无敌之剑	1	6	5	1	6	0	10	10	1	1	999999	999999	999999	999999	999999	999999	999999	999999	999999	9999999	0	无敌的，知道么，无敌！	5		weapon_101025
101000	icon_101001	夜刃	1	1	5	1	1	0.1	3	3	2	200	60	210	20	20	20	20	20	20	20	0	0	一阶1级长剑，1级可以使用，可以在主线或者银牙城堡低级副本中获得	1		weapon_101001
101001	icon_101001	夜刃	1	1	5	1	2	0.15	2.8	2.8	4	300	72	252	24	24	24	24	24	24	24	0	0	一阶2级长剑，3级可以使用，可以通过合成获得	2		weapon_101001
101002	icon_101001	夜刃	1	1	5	1	2	0.2	2.6	2.6	6	400	78	273	26	26	26	26	26	26	26	0	0	一阶3级长剑，5级可以使用，可以在银牙城堡中低级副本中获得	2		weapon_101001
101003	icon_101001	夜刃	1	1	5	1	3	0.25	2.4	2.4	8	500	108	378	36	36	36	36	36	36	36	0	0	一阶4级长剑，7级可以使用，可以通过合成获得	3		weapon_101001
101004	icon_101005	鞭笞者	2	1	5	1	3	0.3	2.2	2.2	10	600	96	336	32	32	32	32	32	32	32	0	0	一阶5级长剑，9级可以使用，可以在银牙城堡中高级副本中获得	3		weapon_101005
101005	icon_101005	鞭笞者	2	1	5	1	4	0.35	2	2	12	700	108	378	36	36	36	36	36	36	36	0	0	一阶6级长剑，10级可以使用，可以通过合成获得	4		weapon_101005
101006	icon_101005	鞭笞者	2	1	5	1	4	0.4	1.8	1.8	14	800	114	399	38	38	38	38	38	38	38	0	0	一阶7级长剑，11级可以使用，可以在银牙城堡高级副本中获得	4		weapon_101005
101007	icon_101005	鞭笞者	2	1	5	1	5	0.45	1.6	1.6	15	900	126	441	42	42	42	42	42	42	42	0	0	一阶8级长剑，12级可以使用，可以通过合成获得	5		weapon_101005
101008	icon_101009	瑞文之剑	3	1	5	1	1	0.3	2.5	2.5	16	1000	114	399	38	38	38	38	38	38	38	0	0	二阶1级长剑，13级可以使用，可以在主线或者血色教堂低级副本中获得	1		weapon_101009
101009	icon_101009	瑞文之剑	3	1	5	1	2	0.35	2.3	2.3	17	1100	126	441	42	42	42	42	42	42	42	0	0	二阶2级长剑，14级可以使用，可以通过合成获得	2		weapon_101009
101010	icon_101009	瑞文之剑	3	1	5	1	2	0.4	2.1	2.1	18	1200	132	462	44	44	44	44	44	44	44	0	0	二阶3级长剑，15级可以使用，可以在血色教堂中低级副本中获得	2		weapon_101009
101011	icon_101009	瑞文之剑	3	1	5	1	3	0.45	1.9	1.9	19	1300	162	567	54	54	54	54	54	54	54	0	0	二阶4级长剑，16级可以使用，可以通过合成获得	3		weapon_101009
101012	icon_101013	命运	4	1	5	1	3	0.5	1.7	1.7	20	1400	150	525	50	50	50	50	50	50	50	0	0	二阶5级长剑，17级可以使用，可以在血色教堂中高级副本中获得	3		weapon_101013
101013	icon_101013	命运	4	1	5	1	4	0.55	1.5	1.5	21	1500	162	567	54	54	54	54	54	54	54	0	0	二阶6级长剑，18级可以使用，可以通过合成获得	4		weapon_101013
101014	icon_101013	命运	4	1	5	1	4	0.6	1.3	1.3	22	1600	168	588	56	56	56	56	56	56	56	0	0	二阶7级长剑，19级可以使用，可以在血色教堂高级副本中获得	4		weapon_101013
101015	icon_101013	命运	4	1	5	1	5	0.65	1.1	1.1	23	1700	180	630	60	60	60	60	60	60	60	0	0	二阶8级长剑，20级可以使用，可以通过合成获得	5		weapon_101013
101016	icon_101017	台风	5	1	5	1	1	0.5	2	2	24	1800	168	588	56	56	56	56	56	56	56	0	0	三阶1级长剑，21级可以使用，可以在主线或者祖尔神迹低级副本中获得	1		weapon_101017
