id	exp	exp_sum
1	11	0
2	40	11
3	105	51
4	224	156
5	415	380
6	696	795
7	1085	1491
8	1600	2576
9	2259	4176
10	3080	6435
11	4081	9515
12	5280	13596
13	6695	18876
14	8344	25571
15	10245	33915
16	12416	44160
17	14875	56576
18	17640	71451
19	20729	89091
20	24160	109820
21	27951	133980
22	32120	161931
23	36685	194051
24	41664	230736
25	47075	272400
26	52936	319475
27	59265	372411
28	66080	431676
29	73399	497756
30	81240	571155
31	89621	652395
32	98560	742016
33	108075	840576
34	118184	948651
35	128905	1066835
36	140256	1195740
37	152255	1335996
38	164920	1488251
39	178269	1653171
40	192320	1831440
41	207091	2023760
42	222600	2230851
43	238865	2453451
44	255904	2692316
45	273735	2948220
46	292376	3221955
47	311845	3514331
48	332160	3826176
49	353339	4158336
50	375400	4511675
51	398361	4887075
52	422240	5285436
53	447055	5707676
54	472824	6154731
55	499565	6627555
56	527296	7127120
57	556035	7654416
58	585800	8210451
59	616609	8796251
60	850000	9412860
