id1	id2	tid
1	1	1001
1	1	1002
1	1	1003
1	1	1004
1	2	1101
1	2	1102
1	2	1103
1	3	1201
1	3	1202
1	4	1301
2	1	2001
2	1	2002
2	1	2003
2	1	2004
2	1	2005
2	1	2006
2	2	2101
2	2	2102
2	2	2103
2	3	2201
2	3	2202
2	4	2301
3	1	3001
3	1	3002
3	1	3003
3	1	3004
3	1	3005
3	2	3101
3	2	3102
3	2	3103
3	3	3201
3	3	3202
3	4	3301
4	1	4001
4	1	4002
4	1	4003
4	1	4004
4	1	4005
4	1	4006
4	2	4101
4	2	4102
4	2	4103
4	3	4201
4	3	4202
4	4	4301
5	1	5001
5	1	5002
5	1	5003
5	1	5004
5	1	5005
5	1	5006
5	1	5007
5	1	5008
5	1	5009
5	2	5101
5	2	5102
5	2	5103
5	2	5104
5	3	5201
5	3	5202
5	4	5301
6	1	6001
6	1	6002
6	1	6003
6	1	6004
6	1	6005
6	1	6006
6	1	6007
6	1	6008
6	1	6009
6	2	6101
6	2	6102
6	2	6103
6	2	6104
6	3	6201
6	3	6202
6	4	6301
