id	maxSort	miniSort	successRate	moneyTyep	price	material1	magicNumber	material2	material3	material4	material5	material6	materials
101001	1	1	100	1	6400	11001	1						[{11001,1}]
101003	1	1	100	1	8000	11005	2						[{11005,2}]
101005	1	1	100	1	24000	11009	3						[{11009,3}]
101007	1	1	100	1	40000	11013	4						[{11013,4}]
101009	1	1	100	1	12800	11017	3						[{11017,3}]
101011	1	1	100	1	16000	11021	4						[{11021,4}]
101013	1	1	100	1	48000	11025	5						[{11025,5}]
101015	1	1	100	1	80000	11029	6						[{11029,6}]
101017	1	1	100	1	25600	11033	5						[{11033,5}]
101019	1	1	100	1	32000	11037	6						[{11037,6}]
101021	1	1	100	1	96000	11041	7						[{11041,7}]
101023	1	1	100	1	160000	11045	8						[{11045,8}]
101025	1	1	100	1	51200	11049	7						[{11049,7}]
101027	1	1	100	1	64000	11053	8						[{11053,8}]
101029	1	1	100	1	192000	11057	9						[{11057,9}]
101031	1	1	100	1	320000	11061	10						[{11061,10}]
101033	1	1	100	1	102400	11065	9						[{11065,9}]
101035	1	1	100	1	128000	11069	10						[{11069,10}]
101037	1	1	100	1	384000	11073	11						[{11073,11}]
101039	1	1	100	1	640000	11077	12						[{11077,12}]
101041	1	1	100	1	204800	11081	11						[{11081,11}]
101043	1	1	100	1	256000	11085	12						[{11085,12}]
101045	1	1	100	1	768000	11089	13						[{11089,13}]
101047	1	1	100	1	1280000	11093	14						[{11093,14}]
102002	1	2	100	1	6400	11001	1						[{11001,1}]
102004	1	2	100	1	8000	11005	2						[{11005,2}]
102006	1	2	100	1	24000	11009	3						[{11009,3}]
102008	1	2	100	1	40000	11013	4						[{11013,4}]
102010	1	2	100	1	12800	11017	3						[{11017,3}]
102012	1	2	100	1	16000	11021	4						[{11021,4}]
102014	1	2	100	1	48000	11025	5						[{11025,5}]
102016	1	2	100	1	80000	11029	6						[{11029,6}]
102018	1	2	100	1	25600	11033	5						[{11033,5}]
102020	1	2	100	1	32000	11037	6						[{11037,6}]
102022	1	2	100	1	96000	11041	7						[{11041,7}]
102024	1	2	100	1	160000	11045	8						[{11045,8}]
102026	1	2	100	1	51200	11049	7						[{11049,7}]
102028	1	2	100	1	64000	11053	8						[{11053,8}]
102030	1	2	100	1	192000	11057	9						[{11057,9}]
102032	1	2	100	1	320000	11061	10						[{11061,10}]
102034	1	2	100	1	102400	11065	9						[{11065,9}]
102036	1	2	100	1	128000	11069	10						[{11069,10}]
102038	1	2	100	1	384000	11073	11						[{11073,11}]
102040	1	2	100	1	640000	11077	12						[{11077,12}]
102042	1	2	100	1	204800	11081	11						[{11081,11}]
102044	1	2	100	1	256000	11085	12						[{11085,12}]
102046	1	2	100	1	768000	11089	13						[{11089,13}]
102048	1	2	100	1	1280000	11093	14						[{11093,14}]
103002	1	3	100	1	6400	11001	1						[{11001,1}]
103004	1	3	100	1	8000	11005	2						[{11005,2}]
103006	1	3	100	1	24000	11009	3						[{11009,3}]
103008	1	3	100	1	40000	11013	4						[{11013,4}]
103010	1	3	100	1	12800	11017	3						[{11017,3}]
103012	1	3	100	1	16000	11021	4						[{11021,4}]
103014	1	3	100	1	48000	11025	5						[{11025,5}]
103016	1	3	100	1	80000	11029	6						[{11029,6}]
103018	1	3	100	1	25600	11033	5						[{11033,5}]
103020	1	3	100	1	32000	11037	6						[{11037,6}]
103022	1	3	100	1	96000	11041	7						[{11041,7}]
103024	1	3	100	1	160000	11045	8						[{11045,8}]
103026	1	3	100	1	51200	11049	7						[{11049,7}]
103028	1	3	100	1	64000	11053	8						[{11053,8}]
103030	1	3	100	1	192000	11057	9						[{11057,9}]
103032	1	3	100	1	320000	11061	10						[{11061,10}]
103034	1	3	100	1	102400	11065	9						[{11065,9}]
103036	1	3	100	1	128000	11069	10						[{11069,10}]
103038	1	3	100	1	384000	11073	11						[{11073,11}]
103040	1	3	100	1	640000	11077	12						[{11077,12}]
103042	1	3	100	1	204800	11081	11						[{11081,11}]
103044	1	3	100	1	256000	11085	12						[{11085,12}]
103046	1	3	100	1	768000	11089	13						[{11089,13}]
103048	1	3	100	1	1280000	11093	14						[{11093,14}]
104002	1	4	100	1	6400	11001	1						[{11001,1}]
104004	1	4	100	1	8000	11005	2						[{11005,2}]
104006	1	4	100	1	24000	11009	3						[{11009,3}]
104008	1	4	100	1	40000	11013	4						[{11013,4}]
104010	1	4	100	1	12800	11017	3						[{11017,3}]
104012	1	4	100	1	16000	11021	4						[{11021,4}]
104014	1	4	100	1	48000	11025	5						[{11025,5}]
104016	1	4	100	1	80000	11029	6						[{11029,6}]
104018	1	4	100	1	25600	11033	5						[{11033,5}]
104020	1	4	100	1	32000	11037	6						[{11037,6}]
104022	1	4	100	1	96000	11041	7						[{11041,7}]
104024	1	4	100	1	160000	11045	8						[{11045,8}]
104026	1	4	100	1	51200	11049	7						[{11049,7}]
104028	1	4	100	1	64000	11053	8						[{11053,8}]
104030	1	4	100	1	192000	11057	9						[{11057,9}]
104032	1	4	100	1	320000	11061	10						[{11061,10}]
104034	1	4	100	1	102400	11065	9						[{11065,9}]
104036	1	4	100	1	128000	11069	10						[{11069,10}]
104038	1	4	100	1	384000	11073	11						[{11073,11}]
104040	1	4	100	1	640000	11077	12						[{11077,12}]
104042	1	4	100	1	204800	11081	11						[{11081,11}]
104044	1	4	100	1	256000	11085	12						[{11085,12}]
104046	1	4	100	1	768000	11089	13						[{11089,13}]
104048	1	4	100	1	1280000	11093	14						[{11093,14}]
105002	1	5	100	1	6400	11001	1						[{11001,1}]
105004	1	5	100	1	8000	11005	2						[{11005,2}]
105006	1	5	100	1	24000	11009	3						[{11009,3}]
105008	1	5	100	1	40000	11013	4						[{11013,4}]
105010	1	5	100	1	12800	11017	3						[{11017,3}]
105012	1	5	100	1	16000	11021	4						[{11021,4}]
105014	1	5	100	1	48000	11025	5						[{11025,5}]
105016	1	5	100	1	80000	11029	6						[{11029,6}]
105018	1	5	100	1	25600	11033	5						[{11033,5}]
105020	1	5	100	1	32000	11037	6						[{11037,6}]
105022	1	5	100	1	96000	11041	7						[{11041,7}]
105024	1	5	100	1	160000	11045	8						[{11045,8}]
105026	1	5	100	1	51200	11049	7						[{11049,7}]
105028	1	5	100	1	64000	11053	8						[{11053,8}]
105030	1	5	100	1	192000	11057	9						[{11057,9}]
105032	1	5	100	1	320000	11061	10						[{11061,10}]
105034	1	5	100	1	102400	11065	9						[{11065,9}]
105036	1	5	100	1	128000	11069	10						[{11069,10}]
105038	1	5	100	1	384000	11073	11						[{11073,11}]
105040	1	5	100	1	640000	11077	12						[{11077,12}]
105042	1	5	100	1	204800	11081	11						[{11081,11}]
105044	1	5	100	1	256000	11085	12						[{11085,12}]
105046	1	5	100	1	768000	11089	13						[{11089,13}]
105048	1	5	100	1	1280000	11093	14						[{11093,14}]
106002	1	6	100	1	6400	11001	1						[{11001,1}]
106004	1	6	100	1	8000	11005	2						[{11005,2}]
106006	1	6	100	1	24000	11009	3						[{11009,3}]
106008	1	6	100	1	40000	11013	4						[{11013,4}]
106010	1	6	100	1	12800	11017	3						[{11017,3}]
106012	1	6	100	1	16000	11021	4						[{11021,4}]
106014	1	6	100	1	48000	11025	5						[{11025,5}]
106016	1	6	100	1	80000	11029	6						[{11029,6}]
106018	1	6	100	1	25600	11033	5						[{11033,5}]
106020	1	6	100	1	32000	11037	6						[{11037,6}]
106022	1	6	100	1	96000	11041	7						[{11041,7}]
106024	1	6	100	1	160000	11045	8						[{11045,8}]
106026	1	6	100	1	51200	11049	7						[{11049,7}]
106028	1	6	100	1	64000	11053	8						[{11053,8}]
106030	1	6	100	1	192000	11057	9						[{11057,9}]
106032	1	6	100	1	320000	11061	10						[{11061,10}]
106034	1	6	100	1	102400	11065	9						[{11065,9}]
106036	1	6	100	1	128000	11069	10						[{11069,10}]
106038	1	6	100	1	384000	11073	11						[{11073,11}]
106040	1	6	100	1	640000	11077	12						[{11077,12}]
106042	1	6	100	1	204800	11081	11						[{11081,11}]
106044	1	6	100	1	256000	11085	12						[{11085,12}]
106046	1	6	100	1	768000	11089	13						[{11089,13}]
106048	1	6	100	1	1280000	11093	14						[{11093,14}]
107002	1	7	100	1	6400	11001	1						[{11001,1}]
107004	1	7	100	1	8000	11005	2						[{11005,2}]
107006	1	7	100	1	24000	11009	3						[{11009,3}]
107008	1	7	100	1	40000	11013	4						[{11013,4}]
107010	1	7	100	1	12800	11017	3						[{11017,3}]
107012	1	7	100	1	16000	11021	4						[{11021,4}]
107014	1	7	100	1	48000	11025	5						[{11025,5}]
107016	1	7	100	1	80000	11029	6						[{11029,6}]
107018	1	7	100	1	25600	11033	5						[{11033,5}]
107020	1	7	100	1	32000	11037	6						[{11037,6}]
107022	1	7	100	1	96000	11041	7						[{11041,7}]
107024	1	7	100	1	160000	11045	8						[{11045,8}]
107026	1	7	100	1	51200	11049	7						[{11049,7}]
107028	1	7	100	1	64000	11053	8						[{11053,8}]
107030	1	7	100	1	192000	11057	9						[{11057,9}]
107032	1	7	100	1	320000	11061	10						[{11061,10}]
107034	1	7	100	1	102400	11065	9						[{11065,9}]
107036	1	7	100	1	128000	11069	10						[{11069,10}]
107038	1	7	100	1	384000	11073	11						[{11073,11}]
107040	1	7	100	1	640000	11077	12						[{11077,12}]
107042	1	7	100	1	204800	11081	11						[{11081,11}]
107044	1	7	100	1	256000	11085	12						[{11085,12}]
107046	1	7	100	1	768000	11089	13						[{11089,13}]
107048	1	7	100	1	1280000	11093	14						[{11093,14}]
113002	2	1	100	1	3200	11289	1						[{11289,1}]
113004	2	1	100	1	4000	11293	2						[{11293,2}]
113006	2	1	100	1	12000	11297	3						[{11297,3}]
113008	2	1	100	1	20000	11301	4						[{11301,4}]
113010	2	1	100	1	6400	11305	3						[{11305,3}]
113012	2	1	100	1	8000	11309	4						[{11309,4}]
113014	2	1	100	1	24000	11313	5						[{11313,5}]
113016	2	1	100	1	40000	11317	6						[{11317,6}]
113018	2	1	100	1	12800	11321	5						[{11321,5}]
113020	2	1	100	1	16000	11325	6						[{11325,6}]
113022	2	1	100	1	48000	11329	7						[{11329,7}]
113024	2	1	100	1	80000	11333	8						[{11333,8}]
113026	2	1	100	1	25600	11337	7						[{11337,7}]
113028	2	1	100	1	32000	11341	8						[{11341,8}]
113030	2	1	100	1	96000	11345	9						[{11345,9}]
113032	2	1	100	1	160000	11349	10						[{11349,10}]
113034	2	1	100	1	51200	11353	9						[{11353,9}]
113036	2	1	100	1	64000	11357	10						[{11357,10}]
113038	2	1	100	1	192000	11361	11						[{11361,11}]
113040	2	1	100	1	320000	11365	12						[{11365,12}]
113042	2	1	100	1	102400	11369	11						[{11369,11}]
113044	2	1	100	1	128000	11373	12						[{11373,12}]
113046	2	1	100	1	384000	11377	13						[{11377,13}]
113048	2	1	100	1	640000	11381	14						[{11381,14}]
114002	2	2	100	1	3200	11097	1						[{11097,1}]
114004	2	2	100	1	4000	11101	2						[{11101,2}]
114006	2	2	100	1	12000	11105	3						[{11105,3}]
114008	2	2	100	1	20000	11109	4						[{11109,4}]
114010	2	2	100	1	6400	11113	3						[{11113,3}]
114012	2	2	100	1	8000	11117	4						[{11117,4}]
114014	2	2	100	1	24000	11121	5						[{11121,5}]
114016	2	2	100	1	40000	11125	6						[{11125,6}]
114018	2	2	100	1	12800	11129	5						[{11129,5}]
114020	2	2	100	1	16000	11133	6						[{11133,6}]
114022	2	2	100	1	48000	11137	7						[{11137,7}]
114024	2	2	100	1	80000	11141	8						[{11141,8}]
114026	2	2	100	1	25600	11145	7						[{11145,7}]
114028	2	2	100	1	32000	11149	8						[{11149,8}]
114030	2	2	100	1	96000	11153	9						[{11153,9}]
114032	2	2	100	1	160000	11157	10						[{11157,10}]
114034	2	2	100	1	51200	11161	9						[{11161,9}]
114036	2	2	100	1	64000	11165	10						[{11165,10}]
114038	2	2	100	1	192000	11169	11						[{11169,11}]
114040	2	2	100	1	320000	11173	12						[{11173,12}]
114042	2	2	100	1	102400	11177	11						[{11177,11}]
114044	2	2	100	1	128000	11181	12						[{11181,12}]
114046	2	2	100	1	384000	11185	13						[{11185,13}]
114048	2	2	100	1	640000	11189	14						[{11189,14}]
115002	2	3	100	1	3200	11193	1						[{11193,1}]
115004	2	3	100	1	4000	11197	2						[{11197,2}]
115006	2	3	100	1	12000	11201	3						[{11201,3}]
115008	2	3	100	1	20000	11205	4						[{11205,4}]
115010	2	3	100	1	6400	11209	3						[{11209,3}]
115012	2	3	100	1	8000	11213	4						[{11213,4}]
115014	2	3	100	1	24000	11217	5						[{11217,5}]
115016	2	3	100	1	40000	11221	6						[{11221,6}]
115018	2	3	100	1	12800	11225	5						[{11225,5}]
115020	2	3	100	1	16000	11229	6						[{11229,6}]
115022	2	3	100	1	48000	11233	7						[{11233,7}]
115024	2	3	100	1	80000	11237	8						[{11237,8}]
115026	2	3	100	1	25600	11241	7						[{11241,7}]
115028	2	3	100	1	32000	11245	8						[{11245,8}]
115030	2	3	100	1	96000	11249	9						[{11249,9}]
115032	2	3	100	1	160000	11253	10						[{11253,10}]
115034	2	3	100	1	51200	11257	9						[{11257,9}]
115036	2	3	100	1	64000	11261	10						[{11261,10}]
115038	2	3	100	1	192000	11265	11						[{11265,11}]
115040	2	3	100	1	320000	11269	12						[{11269,12}]
115042	2	3	100	1	102400	11273	11						[{11273,11}]
115044	2	3	100	1	128000	11277	12						[{11277,12}]
115046	2	3	100	1	384000	11281	13						[{11281,13}]
115048	2	3	100	1	640000	11285	14						[{11285,14}]
12012	3	1	25	2	25	12011	4						[{12011,4}]
