type	job	weapon	useIcon	isNew	des	get_type	get_hard	rarity	show	size	name	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	skill1	skill2	skill3
30001	2	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	矮穷挫中的战斗机，富二代中的佼佼者，呆萌的外表下，有着一颗叛逆的心。这样的伪装下，谁又能体会到他的善良与温柔。他始终是孤独的！	酒馆获取	1	1	501	80	圣骑	740	11620	225	112	150	150	150	150	113	0	1	2	3
30003	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	妖娆性感的暗夜精灵女子，出入在神秘之中，她居无定所游走在各个城池之间。没有人知道她的名字，透过她眼睛看到的是刀刃上的一缕锋芒！	酒馆获取	1	2	508	80	潜行者	1500	6300	75	180	135	200	220	113	127	0	7	8	9
30002	1	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	学识渊博的她从小就天赋异禀，对知识的渴望和家族的信仰使她肩负重任。每当战火来临硝烟四起的时候，她的智慧就是她强大的力量！	酒馆获取	2	3	502	80	急速女法	1800	4200	37	97	225	135	188	263	105	0	10	11	12
30004	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	老实敦厚的矮人，性格温和与人和善。傻乎乎的他们不拘小节，善于使用火药枪械，精准的技术和敦实的体格成为了他们与邪恶斗争最强的武器！	酒馆获取	1	2	503	80	火枪手	1680	5040	75	262	225	60	150	225	53	0	4	5	6
30005	1	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	他出身名门，终身守护着他们的道义与信仰，剑是他一生的伴侣与兄弟。当邪恶降临他第一个站了出来，为了的只是一句苍白的誓言！	酒馆获取	2	3	504	80	剑圣	1320	7560	150	150	150	150	150	150	150	0	16	17	18
30006	3	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	丛林的孩子，野兽的使者，他是所有萌兽的领袖。战事摧残着他深爱的丛林，邪恶的气息感染着他的子民。他又怎能视而不见！	酒馆获取	1	1	505	80	兽王	1080	9240	150	150	150	150	150	150	150	0	25	26	27
30007	3	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	他从黑暗中走来，带着沉寂的气息，他疯狂的追逐着黑暗魔法的力量，这也让他有了与众不同的味道，耳边就会伴随着低语，等待死亡的气息！	酒馆获取	2	4	507	80	痛苦术士	1440	6720	90	150	187	150	150	150	173	0	22	23	24
30008	2	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	谦逊，坦诚的他万万没想到安逸的日子会那么短暂，凝重的眼神透露出他处之泰然的大将之风，厚如城墙的身躯担负着整个大陆的命运！	酒馆获取	2	3	506	80	牛头酋长	600	12600	225	150	150	187	75	75	188	0	13	14	15
30009	3	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	图腾与自然之间的使者。狼是他力量源泉的图腾，也是他灵魂的伴侣。处女座的他怎能容忍邪恶的力量污染了他那纯粹的灵魂之力！	酒馆获取	3	5	509	80	萨满	1740	4620	90	187	187	90	187	150	159	0	19	20	21
30010	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	他是德鲁伊大祭司，长久以来接受着自然之母的召唤与庇护，净化的心灵使他无比的憎恨腐烂与死亡，在他统治的森林里，只有纯粹的“生命”！	酒馆获取	1	2	510	80	树人	1440	6720	150	120	120	200	150	150	160	0	28	29	30
30011	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	她是血精灵的大祭司，一生赐福着血精灵的荣耀之殿。虔诚的她早已感觉到了这份不详的气息，这一切的突然对她来说都显得那么苍白！	酒馆获取	3	5	511	80	圣祭祀	1800	4200	120	120	120	120	187	150	233	0	31	32	33
30015	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	恶魔的躯壳下有着一颗满是疮痍的心，恶魔的力量让他失去了双眼，可精灵的灵魂重铸了他的双眸。他誓言要在这次灾难中，找回他失去的一切！	酒馆获取	4	6	515	80	恶魔猎手	1600	7200	200	200	120	200	150	100	80	0	60	74	67
30012	2	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	从遥远的大陆穿越过来的小伙伴，四肢发达头脑简单的他是个天生的战士，坚韧的铠甲就是他的名片。既然来了，他决定帮助大家战胜邪恶！	幸运星抽取	5	7	512	80	盖哥	1180	10200	225	112	150	150	150	150	113	0	57	73	64
30013	2	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	大山的孩子，矮人族的将军。由于山神的庇护以及他天生的体魄使他无比的耐揍。他的口号是:"快向我开炮~！"其他的小伙伴都看不下去了！	幸运星抽取	5	7	513	80	山丘之王	1320	8200	225	112	150	150	150	150	113	0	77	89	65
30014	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	巨魔种族中的医师，有着独特的医术，这神秘的技术使得巫医有着特别的治疗方式，最麻烦的是，他们施法前总喜欢先有一些仪式，比如“跳舞”！	酒馆获取	3	5	514	80	巫医	1500	6300	90	150	187	150	150	150	173	0	59		66
30016	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	跟随着盖伦从异世界来的妹子，酷酷的造型，帅帅的身姿迷倒了万千的善男信女！但是不要小看她，高高的帽檐下总会闪烁着她犀利的眼神！	酒馆获取	4	6	516	80	枪神女警	1800	4200	75	262	225	60	150	225	53	0	61	75	68
30017	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	她是暗夜精灵的监护者，身负着种族的使命，自从恶魔猎手去追寻了恶魔之力后，她就誓言要监视着他，谁又知道在此掩饰下的爱的火花！	酒馆获取	2	4	517	80	守望者	1600	6200	75	180	135	200	220	113	127	0	58	76	71
30018	3	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	从天而降的一个神秘人物，自称是神的使者，一身华丽的盔甲包裹着他，总是默默的陪伴在英雄们身边，从而大家也习惯了他的存在！	酒馆获取	4	6	518	80	审判天使	1800	4200	75	180	135	200	220	113	127	0	62	72	69
30019	1	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	亡灵族中伟大的英雄，有着万千亡灵的寒气包围着他的躯体，但是每次战役中他都特别没有存在感，也不知道是不是因为已经死过一次的缘故！	酒馆获取	1	1	519	80	巫妖	1800	4200	90	187	187	90	187	150	159	0	63		70
30020	1	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	兽人族中稀有的红色皮肤，一看就知道他的狂热与野性，他总说：“给我一把利斧，我就能给你们一场漂亮的胜利”虽然不是每次都能兑现！	酒馆获取	4	6	520	80	斧王	1320	8500	150	150	150	150	150	150	150	0	78		81
30021	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	皇家矮人火枪队队长，经过军事化训练的他有着更具战术性的天赋和技能，荣耀和信仰从来没有离开过他，他是矮人族的皇家卫队！	酒馆获取	4	6	521	80	火枪戍卫	5040	5040	50	300	225	60	225	150	40	0	79	80	82
30022	3	7	ui_yingxiongshengdian_wuqikuangbiaozhi10	1	生活在冰冷的国度的孤儿，她的内心与她的作风一样冰冷，可她从没放弃追寻那一丝温暖的希望，她在用行动表达她对这片大陆的爱！	酒馆获取	3	5	522	80	寒冰射手	1480	7040	50	300	225	60	225	150	40	0	83	84	85
30023	1	7	ui_yingxiongshengdian_wuqikuangbiaozhi10	1	受到诅咒的暗夜射手，从来不听从任何人的安排，在她的眼里，只有自己才是邪恶的化身，这场黑暗让她无法容忍，她要证明自己的存在！	酒馆获取	4	6	523	80	黑暗游侠	1680	5040	50	300	225	60	225	150	40	0	86	87	88
