rarity	quality	type	price
1	1	2	50
1	2	2	100
1	3	2	200
1	4	2	400
1	5	2	800
1	6	2	1600
1	7	2	3200
2	1	2	60
2	2	2	120
2	3	2	240
2	4	2	480
2	5	2	960
2	6	2	1920
2	7	2	3840
3	1	2	80
3	2	2	160
3	3	2	320
3	4	2	640
3	5	2	1280
3	6	2	2560
3	7	2	5120
4	1	2	100
4	2	2	200
4	3	2	400
4	4	2	800
4	5	2	1600
4	6	2	3200
4	7	2	6400
5	1	2	130
5	2	2	260
5	3	2	520
5	4	2	1040
5	5	2	2080
5	6	2	4160
5	7	2	8320
6	1	2	170
6	2	2	340
6	3	2	680
6	4	2	1360
6	5	2	2720
6	6	2	5440
6	7	2	10880
7	1	2	200
7	2	2	400
7	3	2	800
7	4	2	1600
7	5	2	3200
7	6	2	6400
7	7	2	12800
