type	name	tab	quality	sort	pile	desc	picture	sellType	Price	magicIndex	control2	drop_location
10101	强化石1	2	1	1	20	劣质强化石，用于装备强化	icon_10101	1	100			1,3,7
10102	强化石2	2	1	1	20	强化石，用于装备强化，比1级强化成功率更高	icon_10102	1	500			2,4,8
10103	强化石3	2	2	1	20	低级强化石，用于装备强化，比2级强化成功率更高	icon_10103	1	2000			1,3,8
10104	强化石4	2	2	1	20	强化石，用于装备强化，比3级强化成功率更高	icon_10104	1	6000			2,4,9
10105	强化石5	2	2	1	20	高级强化石，用于装备强化，比4级强化成功率更高	icon_10105	1	12000			1,3,9
10106	强化石6	2	3	1	20	特级强化石，用于装备强化，比5级强化成功率更高	icon_10106	1	24000			2,4,10
10107	强化石7	2	3	1	20	终级强化石，用于装备强化，比6级强化成功率更高	icon_10107	1	48000			1,3,10
10108	强化石8	2	4	1	20	神级强化石，用于装备强化，比7级强化成功率更高	icon_10108	1	96000			2,4,11
10109	强化石9	2	5	1	20	逆天级强化石，用于装备强化，比8级强化成功率更高	icon_10109	1	192000			1,3,11
11001	铜质碎片	1	2	2	20	合成一阶2级武器的金属碎片，可以在主线或者银牙城堡低级副本获得	icon_20001	1	100			2,4,12
11005	铜质碎片	1	3	2	20	合成一阶4级武器的金属碎片，可以在银牙城堡中低级副本获得	icon_20001	1	200			1,3,12
11009	铜质碎片	1	4	2	20	合成一阶6级武器的金属碎片，可以在银牙城堡中高级副本获得	icon_20001	1	400			2,4,13
11013	铜质碎片	1	5	2	20	合成一阶8级武器的金属碎片，可以在银牙城堡高级副本获得	icon_20001	1	600			1,3,13
11017	寒铁碎片	1	2	2	20	合成二阶2级武器的金属碎片，可以在主线或者血色教堂低级副本获得	icon_20005	1	160			2,4,14
11021	寒铁碎片	1	3	2	20	合成二阶4级武器的金属碎片，可以在血色教堂中低级副本获得	icon_20005	1	320			1,3,14
11025	寒铁碎片	1	4	2	20	合成二阶6级武器的金属碎片，可以在血色教堂中高级副本获得	icon_20005	1	640			2,4,15
11029	寒铁碎片	1	5	2	20	合成二阶8级武器的金属碎片，可以在血色教堂高级副本获得	icon_20005	1	960			1,3,15
11033	秘银碎片	1	2	2	20	合成三阶2级武器的金属碎片，可以在主线或者祖尔神迹低级副本获得	icon_20009	1	256			2,4,16
11037	秘银碎片	1	3	2	20	合成三阶4级武器的金属碎片，可以在祖尔神迹中低级副本获得	icon_20009	1	512			1,3,16
11041	秘银碎片	1	4	2	20	合成三阶6级武器的金属碎片，可以在祖尔神迹中高级副本获得	icon_20009	1	1024			2,4,17
11045	秘银碎片	1	5	2	20	合成三阶8级武器的金属碎片，可以在祖尔神迹高级副本获得	icon_20009	1	1536			1,3,17
11049	金质碎片	1	2	2	20	合成四阶2级武器的金属碎片，可以在主线或者厄运王国低级副本获得	icon_20013	1	409			2,4,18
11053	金质碎片	1	3	2	20	合成四阶4级武器的金属碎片，可以在厄运王国中低级副本获得	icon_20013	1	819			1,3,18
11057	金质碎片	1	4	2	20	合成四阶6级武器的金属碎片，可以在厄运王国中高级副本获得	icon_20013	1	1638			2,4,19
11061	金质碎片	1	5	2	20	合成四阶8级武器的金属碎片，可以在厄运王国高级副本获得	icon_20013	1	2457			1,3,19
11065	氪金碎片	1	2	2	20	合成五阶2级武器的金属碎片，可以在主线或者斯坦索姆低级副本获得	icon_20017	1	654			2,4,20
11069	氪金碎片	1	3	2	20	合成五阶4级武器的金属碎片，可以在斯坦索姆中低级副本获得	icon_20017	1	1310			1,3,20
11073	氪金碎片	1	4	2	20	合成五阶6级武器的金属碎片，可以在斯坦索姆中高级副本获得	icon_20017	1	2620			2,4,21
11077	氪金碎片	1	5	2	20	合成五阶8级武器的金属碎片，可以在斯坦索姆高级副本获得	icon_20017	1	3931			1,3,21
11081	魔能碎片	1	2	2	20	合成六阶2级武器的金属碎片，可以在主线或者黑石之翼低级副本获得	icon_20021	1	1046			2,4,22
11085	魔能碎片	1	3	2	20	合成六阶4级武器的金属碎片，可以在黑石之翼中低级副本获得	icon_20021	1	2096			1,3,22
11089	魔能碎片	1	4	2	20	合成六阶6级武器的金属碎片，可以在黑石之翼中高级副本获得	icon_20021	1	4192			2,4,23
