id1	id2	exp	expend	provide
1	1	120	10000	10
2	1	480	10000	60
3	1	1600	10000	300
4	1	3200	20000	1100
5	1	6400	20000	2700
1	2	135	20000	20
2	2	540	20000	67
3	2	1800	20000	337
4	2	3600	30000	1237
5	2	7200	30000	3037
1	3	150	30000	40
2	3	600	30000	75
3	3	2000	30000	375
4	3	4000	40000	1300
5	3	8000	40000	3000
6	3	16000	40000	6000
1	4	165	40000	80
2	4	660	40000	82
3	4	2200	40000	412
4	4	4400	50000	1430
5	4	8800	50000	3300
6	4	17600	50000	6600
7	4	35200	50000	13200
8	4	70400	50000	26400
9	4	140800	50000	52800
10	4	281600	50000	105600
1	5	180	50000	160
2	5	720	50000	90
3	5	2400	50000	450
4	5	4800	60000	1560
5	5	9600	60000	3600
6	5	19200	60000	7200
7	5	38400	60000	14400
8	5	76800	60000	28800
9	5	153600	60000	57600
10	5	307200	70000	115200
11	5	614400	70000	230400
12	5	1228800	70000	307200
13	5	2457600	70000	614400
14	5	4915200	70000	1228800
15	5	9830400	70000	2457600
