id	type	pos	name	num	quality	value
1	10109	1	9级强化石	1	1	400
1	10108	2	8级强化石	1	1	200
1	3	3	钻石返利	1	2	5000
1	5	4	盖伦	{30012,2}	2	4000
1	10109	5	9级强化石	3	2	1200
1	13006	6	7级精华	1	1	200
1	10108	7	8级强化石	3	2	600
1	1	8	金币	80000	1	80
1	10107	9	7级强化石	1	1	100
1	2	10	钻石	188	2	250
1	13005	11	6级精华	3	1	150
1	10107	12	7级强化石	3	1	300
1	2	13	钻石	50	1	120
1	13006	14	7级精华	3	1	600
2	10109	1	9级强化石	1	1	400
2	10108	2	8级强化石	1	1	200
2	3	3	钻石返利	1	2	5000
2	5	4	山丘	{30013,2}	1	4000
2	10109	5	9级强化石	3	2	1200
2	13006	6	7级精华	1	1	200
2	10108	7	8级强化石	3	2	600
2	1	8	金币	80000	1	80
2	10107	9	7级强化石	1	1	100
2	2	10	钻石	188	2	250
2	13005	11	6级精华	3	1	150
2	10107	12	7级强化石	3	1	300
2	2	13	钻石	50	1	120
2	13006	14	7级精华	3	1	600
