id	chapterID	chapterName	chapterScope	pointID	pointName	scene	bgm	boss_level	boss_seat	points_ico	pco_effect	points_point
1	1	1	1,20	1	潜入	map_0014	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
2	2	2	21,40	2	暗巷	map_0015	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
3	3	3	41,60	3	追杀	map_0016	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
4	4	4	61,80	4	清剿	map_0017	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
5	5	5	81,100	5	罗伦纪念碑	map_0018	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
6	6	6	101,120	6	士兵广场	map_0019	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
7	7	7	121,140	7	纳格兰小道	map_0020	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
8	8	8	141,160	8	战略转移	map_0021	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
9	9	9	161,180	9	突袭	map_0022	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
10	10	10	181,200	10	斥候撒克隆	map_001	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
11	11	11	201,220	11	祈祷之台	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
12	12	12	221,240	12	誓死守卫	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
13	13	13	241,260	13	阻挠	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
14	14	14	261,280	14	精神压制	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
15	15	15	281,300	15	第一波冲击	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
16	16	16	301,320	16	轻敌	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
17	17	17	321,340	17	第二波冲击	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
18	18	18	341,360	18	强袭者蒙卡托	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
19	19	19	361,380	19	拯救	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
20	20	20	381,400	20	光之障壁	map_001	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
21				21	整装待发	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
