id	type	name	photo	align	text
1	1	玩家	story_me		原来这都是一场梦
2	1	卫兵	story_weibing		报告国王，兽人大军兵临城下，我们需要您的英雄们的帮助
3	1	玩家	story_me		什。。。什么？好的，我这就去城门支援大军
4	1	卫兵	story_weibing		他们已经潜伏进来了不少杀手，国王一定要小心啊！
5	1	卫兵	story_weibing		街道上杀机四伏，国王大人无比小心！
6	1	卫兵	story_weibing		对了，您赶快回主城看一下吧，您的贴身小精灵艾米好像有什么事要找您
7	1	玩家	story_me		好吧，我这就回去
8	2				我的主人，您总算回来了，先过来签个到吧
9	2				这里是每日签到处，您每天醒来都可以在这里领取到丰厚的奖励哦
10	1	卫兵			国王，他们的刺杀小队就在附近，请您和艾米大人马上去安全区域
11	1	兽人将军	story_shourenjiangjun	1	哈哈哈，这么简单就找到你了。不用跑了，认命吧！
12	1	玩家	story_me		哼，看来这一战必须要打了
13	2				国王大人，刚才签到您获得了新的战士，赶快让他来帮助您吧。
14	2				她是一个强大的法师，有着惊人的伤害，让你的牛头人保护她
15	2				哼哼，是时候教训他们一下了
16	2				牛头人确实是个很好的肉盾，看看我们有什么可以武装他的吧
17	2				进攻才是最好的防御，我们看看有什么他可以拿的武器吧！
18	2				这么好的武器，我们强化一下它，让他有更大的威力吧！
19	2				这里是强化区我们已经拥有了一定的强化石，可以进行相应的强化了
20	2				把石头放上去就可以进行强化啦！
21	2				更好的强化石，可以提高强化的成功率哦！主人赶快试一试
22	2				强化可以提升装备的属性，越好的装备效果越显著哦！
23	2				挖，整个武器的形象都变了呢，看着就很强力的样子
24	2				我们在城里巡视一番，正好试试新武器的威力！
25	1	卫兵	story_weibing		这里有情况，大家集合！！！（远处传来了卫兵的声音）
26	1	玩家	story_me		我们赶快去看看
27	2				新的武器果然给力，附加上强化的提升，分分钟就让那些敌人切腹自尽了！
28	2				我们刚刚完成了一个奖励，赶快去成就里看一下！
29	2				这里是奖励界面，每当您完成一个里程碑，就可以获得相应的奖励呢！
30	2				啊，主人的英雄越来越多了，让我们出去看看吧！
31	1	玩家	story_me		我的英雄们一定能取得这场战役的胜利。让我们冲出去！
32	2				这波敌人和之前的好像不太一样，是他们的精锐小队！
33	2				我们应该集中火力先干掉他的治疗单位！
34	2				赶快调整布阵，战胜他们吧！
35	2				这下就可以克制住他们了！
36	2				这场胜利给我们带来了关卡礼包的解锁，赶快去领取吧！
37	2				这就是关卡礼包了，战胜更多的敌人就可以不断开启礼包领取奖励
38	2				经过这几场战斗，背包都快装满了呢，赶快去扩充一下以备不时之需！
39	2				背包扩充可以容纳更多的道具，背包不足时，道具也会通过邮件发送给您
40	2				但是邮件会在一定时间内失效，所以还是放在背包中保险！
41	2				很好，现在我们准备充足，可以开始远征了！
42	2				这里就是英雄酒馆啦，每天在这里会来来往往很多英雄哦。
43	2				仔细看一下吧，说不定能找到稀有英雄哦
44	2				这里是竞技场，所有的国王都汇聚于此一比高下
45	2				这里可以查询基本晋阶规则
46	2				现在你可以绑定其他玩家的邀请码获得丰厚奖励啦！
47	2				注意到武器上的那些小孔了么?
48	2				附魔宝珠可以提升你的副属性
49	2				我带你去看看怎么获得这些宝珠！
50	2				宝珠分为五种品质
51	2				更强大的宝珠可以提升更多的属性
52	2				获得更高的排名可以晋升到更好的段位，获得更多的荣誉
53	2				选择你喜爱的头像，并且给你的英雄小队起个名字吧！
