type	id	coin	diamond	hero	tid_num	resign_cost
1	1	10000	10	{30002,2}	[{10101,5},{13002,5},{3,2}]	0
1	2	15000	50		[{10102,5},{13002,5},{3,2}]	60
1	3	20000	100		[{10103,5},{3,2}]	120
1	4	25000	120		[{10104,5},{3,2}]	180
1	5	30000	150		[{10105,5},{3,2}]	240
1	6	35000	200		[{10105,15},{3,2}]	300
1	7	99999	666	{30015,5}	[{10105,30},{3,2}]	0
2	1	3000	10		[{10101,5},{3,1}]	0
2	2	8000	20		[{10102,5},{3,1}]	42
2	3	13000	30		[{10103,5},{3,1}]	84
2	4	18000	40		[{10104,5},{3,1}]	125
2	5	23000	50		[{10105,5},{3,1}]	168
2	6	28000	60		[{10105,7},{3,2}]	210
2	7	50000	80		[{10105,10},{3,2}]	0
