level	photo	name	pos	caption
10	story_shourenjiangjun	兽人将军	2	别以为打败了我的小杂碎对我来说代表了什么！
10	story_shourenjiangjun	兽人将军	2	这样没用的部下根本就不应该存活在这样的时代里！
10	story_shourenjiangjun	兽人将军	2	你们不用挣扎了，你们连我的手指头都碰不到！
10	story_me	联盟国王	1	你等着吧，虽然我不知道你到底是谁，但是在我的字典里就没有放弃这个词！
10	story_shourenjiangjun	兽人将军	2	什么？哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
10	story_shourenjiangjun	兽人将军	2	有本事你就试试看啊，年轻人，我是躺着鲜血存活下来的人。
10	story_shourenjiangjun	兽人将军	2	我等着你，我要看看你是怎么跪倒在我的脚下的。
10				城门外，这嚣张的声音让人无法沉静！
50	story_shourenjiangjun	兽人将军	2	早知道出来之前吃一碗拉面了，这下吃不到了
50	story_me	联盟国王	1	这，这伙都在说些什么
50	story_shourenjiangjun	兽人将军	2	哼哼！你别以为战胜了我一切就结束了，我的主人终究会取得这场战争的胜利。
50	story_me	联盟国王	1	在圣光面前你就只有这点话要说了么？说点有价值的话吧，哪怕是为了你自己
50	story_shenmiren	神秘人	2	哈哈哈哈哈！
50	story_me	联盟国王	1	什么人？
50	story_shenmiren	神秘人	2	你太自大了，以为自己就能左右这一切。不过这也没什么了，你也只是我宏伟计划中的一只蝼蚁
50	story_shourenjiangjun	兽人将军	2	我的主人，请原谅我的愚昧与狂妄，我会用鲜血为了您的宏图而祈福
50	story_me	联盟国王	1	我了个去，你们这是在show恩爱么？既然来了就别走了，认命吧
50	story_me	联盟国王	1	什么？不见了！这一切肯定有阴谋。
50	story_shourenjiangjun	兽人将军	2	我曾经多么向往就这样静静的躺着，远离着喧嚣。。。。
50	story_me	联盟国王	1	让他躺着吧，我们去支援大家
100	story_milade	米拉德	2	这一切终究还是来了
100	story_me	联盟国王	1	你为什么要背弃你的信仰！我们是那么敬仰你
100	story_milade	米拉德	2	对不起，我的朋友！为了我的人民与土地我别无选择，对于我做的错事，我早已有了觉悟。他们利用我的人民逼迫我，可悲的是我选择了屈服
100	story_me	联盟国王	1	他们是谁？是什么样的力量能让这位昔日的勇士如此的脆弱与卑微？
100	story_milade	米拉德	2	（他使劲的呼吸着，似乎还有很多未了的心愿）
100	story_milade	米拉德	2	时间不多了，他们的势力很强大，至于是什么样的敌人，我也不是很确定，早在几天前我就从血色接到了这样的讯息，这股能量的强大最终让我选择了屈服
100	story_milade	米拉德	2	我已经没有资格这样要求你们，可还是希望你们原谅我的子民，他们是无辜的。我愿意用我家族一切的荣耀去换取他们的性命!(米拉德微弱的呼吸着，眼神中带有一丝的期盼)
100	story_me	联盟国王	1	（面对这样伟大的英雄，已经没有什么语言能表达这样的心情了）我们一定会终结这一切的，为了所有的人自由与未来
100	story_milade	米拉德	2	（他微闭上双眼，嘴角流露出一丝笑意，顿时间金色的光辉辉映着这位英雄疲倦的身躯）
100	story_me	联盟国王	1	这一切的谜团看来就要清晰了。
