type	level	coin	tired	rise
1	1	300	0	1.05
1	2	900	0	1.06
1	3	2700	0	1.07
1	4	8100	0	1.08
1	5	24300	0	1.09
1	6	36450	60	1.1
1	7	54670	180	1.1
1	8	82500	300	1.1
1	9	123750	1000	1.1
1	10	136125	2000	1.12
1	11	149737	2500	1.14
1	12	164710	3600	1.17
1	13	181181	4200	1.2
1	14	199299	5000	1.25
1	15	219228	8000	1.3
2	1	300	0	1.05
2	2	900	0	1.06
2	3	2700	0	1.07
2	4	8100	0	1.08
2	5	24300	0	1.09
2	6	36450	60	1.1
2	7	54670	180	1.1
2	8	82500	300	1.1
2	9	123750	1000	1.1
2	10	136125	2000	1.12
2	11	149737	2500	1.14
2	12	164710	3600	1.17
2	13	181181	4200	1.2
2	14	199299	5000	1.25
2	15	219228	8000	1.3
3	1	300	0	1.05
3	2	900	0	1.06
3	3	2700	0	1.07
3	4	8100	0	1.08
3	5	24300	0	1.09
3	6	36450	60	1.1
3	7	54670	180	1.1
3	8	82500	300	1.1
3	9	123750	1000	1.1
3	10	136125	2000	1.12
3	11	149737	2500	1.14
3	12	164710	3600	1.17
3	13	181181	4200	1.2
3	14	199299	5000	1.25
3	15	219228	8000	1.3
4	1	300	0	1.05
4	2	900	0	1.06
4	3	2700	0	1.07
4	4	8100	0	1.08
4	5	24300	0	1.09
4	6	36450	60	1.1
4	7	54670	180	1.1
4	8	82500	300	1.1
4	9	123750	1000	1.1
4	10	136125	2000	1.12
4	11	149737	2500	1.14
4	12	164710	3600	1.17
4	13	181181	4200	1.2
4	14	199299	5000	1.25
4	15	219228	8000	1.3
5	1	300	0	1.05
5	2	900	0	1.06
5	3	2700	0	1.07
5	4	8100	0	1.08
5	5	24300	0	1.09
5	6	36450	60	1.1
5	7	54670	180	1.1
5	8	82500	300	1.1
5	9	123750	1000	1.1
5	10	136125	2000	1.12
5	11	149737	2500	1.14
5	12	164710	3600	1.17
5	13	181181	4200	1.2
5	14	199299	5000	1.25
5	15	219228	8000	1.3
6	1	300	0	1.05
6	2	900	0	1.06
6	3	2700	0	1.07
6	4	8100	0	1.08
6	5	24300	0	1.09
6	6	36450	60	1.1
6	7	54670	180	1.1
6	8	82500	300	1.1
6	9	123750	1000	1.1
6	10	136125	2000	1.12
6	11	149737	2500	1.14
6	12	164710	3600	1.17
6	13	181181	4200	1.2
6	14	199299	5000	1.25
6	15	219228	8000	1.3
7	1	300	0	1.05
7	2	900	0	1.06
7	3	2700	0	1.07
7	4	8100	0	1.08
7	5	24300	0	1.09
7	6	36450	60	1.1
7	7	54670	180	1.1
7	8	82500	300	1.1
7	9	123750	1000	1.1
7	10	136125	2000	1.12
7	11	149737	2500	1.14
7	12	164710	3600	1.17
7	13	181181	4200	1.2
7	14	199299	5000	1.25
7	15	219228	8000	1.3
8	1	300	0	1.05
8	2	900	0	1.06
8	3	2700	0	1.07
8	4	8100	0	1.08
8	5	24300	0	1.09
8	6	36450	60	1.1
8	7	54670	180	1.1
8	8	82500	300	1.1
8	9	123750	1000	1.1
8	10	136125	2000	1.12
8	11	149737	2500	1.14
8	12	164710	3600	1.17
8	13	181181	4200	1.2
8	14	199299	5000	1.25
8	15	219228	8000	1.3
9	1	300	0	1.05
9	2	900	0	1.06
9	3	2700	0	1.07
9	4	8100	0	1.08
9	5	24300	0	1.09
9	6	36450	60	1.1
9	7	54670	180	1.1
9	8	82500	300	1.1
9	9	123750	1000	1.1
9	10	136125	2000	1.12
9	11	149737	2500	1.14
9	12	164710	3600	1.17
9	13	181181	4200	1.2
9	14	199299	5000	1.25
9	15	219228	8000	1.3
10	1	300	0	1.05
10	2	900	0	1.06
10	3	2700	0	1.07
10	4	8100	0	1.08
10	5	24300	0	1.09
10	6	36450	60	1.1
10	7	54670	180	1.1
10	8	82500	300	1.1
10	9	123750	1000	1.1
10	10	136125	2000	1.12
10	11	149737	2500	1.14
10	12	164710	3600	1.17
10	13	181181	4200	1.2
10	14	199299	5000	1.25
10	15	219228	8000	1.3
11	1	300	0	1.05
11	2	900	0	1.06
11	3	2700	0	1.07
11	4	8100	0	1.08
11	5	24300	0	1.09
11	6	36450	60	1.1
11	7	54670	180	1.1
11	8	82500	300	1.1
11	9	123750	1000	1.1
11	10	136125	2000	1.12
11	11	149737	2500	1.14
11	12	164710	3600	1.17
11	13	181181	4200	1.2
11	14	199299	5000	1.25
11	15	219228	8000	1.3
12	1	300	0	1.05
12	2	900	0	1.06
12	3	2700	0	1.07
12	4	8100	0	1.08
12	5	24300	0	1.09
12	6	36450	60	1.1
12	7	54670	180	1.1
12	8	82500	300	1.1
12	9	123750	1000	1.1
12	10	136125	2000	1.12
12	11	149737	2500	1.14
12	12	164710	3600	1.17
12	13	181181	4200	1.2
12	14	199299	5000	1.25
12	15	219228	8000	1.3
13	1	300	0	1.05
13	2	900	0	1.06
13	3	2700	0	1.07
13	4	8100	0	1.08
13	5	24300	0	1.09
13	6	36450	60	1.1
13	7	54670	180	1.1
13	8	82500	300	1.1
13	9	123750	1000	1.1
13	10	136125	2000	1.12
13	11	149737	2500	1.14
13	12	164710	3600	1.17
13	13	181181	4200	1.2
13	14	199299	5000	1.25
13	15	219228	8000	1.3
14	1	300	0	1.05
14	2	900	0	1.06
14	3	2700	0	1.07
14	4	8100	0	1.08
14	5	24300	0	1.09
14	6	36450	60	1.1
14	7	54670	180	1.1
14	8	82500	300	1.1
14	9	123750	1000	1.1
14	10	136125	2000	1.12
14	11	149737	2500	1.14
14	12	164710	3600	1.17
14	13	181181	4200	1.2
14	14	199299	5000	1.25
14	15	219228	8000	1.3
15	1	300	0	1.05
15	2	900	0	1.06
15	3	2700	0	1.07
15	4	8100	0	1.08
15	5	24300	0	1.09
15	6	36450	60	1.1
15	7	54670	180	1.1
15	8	82500	300	1.1
15	9	123750	1000	1.1
15	10	136125	2000	1.12
15	11	149737	2500	1.14
15	12	164710	3600	1.17
15	13	181181	4200	1.2
15	14	199299	5000	1.25
15	15	219228	8000	1.3
