type	id	monsters	produce	gold	tired	nightmare	consume	power
1	1	[{1,1}]	[{2,1,101}]	160	5			300
1	2	[{3,2},{4,5}]	[{2,2,1}]	170	5			500
1	3	[{3,1},{2,2},{4,6}]	[{2,1,102}]	180	5			700
1	4	[{401,1},{4,3},{4,5}]	[{2,2,1}]	190	5	20001		900
1	5	[{2,3},{3,5},{4,7}]	[{2,2,1}]	200	5			1100
1	6	[{7,1},{6,5},{5,7}]	[{2,2,1}]	210	5			1300
1	7	[{7,1},{7,3},{7,7}]	[{2,2,1}]	220	5			1500
1	8	[{6,1},{6,7},{5,9}]	[{2,2,1}]	230	5	20001		1700
1	9	[{7,1},{6,7},{5,9}]	[{2,2,1}]	240	5			1900
1	10	[{153,1},{152,9},{154,7},{301,5}]	[{2,2,1}]	250	5			2100
1	11	[{153,1},{153,2},{152,5},{154,8}]	[{2,2,1}]	260	5			2300
1	12	[{151,1},{153,3},{152,5},{154,7}]	[{2,2,1}]	270	5	20001		2500
1	13	[{151,1},{153,3},{152,6},{154,9}]	[{2,2,1}]	280	5			2700
1	14	[{151,3},{153,2},{152,6},{154,8}]	[{2,2,1}]	290	5			2900
1	15	[{151,1},{153,2},{152,5},{154,8}]	[{2,2,1}]	300	5	20001		3100
1	16	[{151,1},{153,6},{152,3},{154,8}]	[{2,2,1}]	310	5			3300
1	17	[{151,1},{153,3},{152,5},{154,9}]	[{2,2,1}]	320	5			3500
1	18	[{151,1},{153,2},{152,5},{154,7},{9,9}]	[{2,2,1}]	330	5			3700
1	19	[{155,1},{10,3},{10,5},{10,7}]	[{2,2,1}]	340	5	20001		3900
1	20	[{155,1},{11,3},{302,5},{155,7}]	[{2,2,1}]	350	5			4100
1	21	[{10,1},{10,3},{11,5},{11,7}]	[{2,2,1}]	360	5			4300
1	22	[{155,1},{10,3},{12,5},{11,7}]	[{2,2,1}]	370	5			4500
1	23	[{155,1},{12,4},{12,5},{12,7}]	[{2,2,1}]	380	5	20001		4700
1	24	[{11,1},{11,3},{11,5},{11,7}]	[{2,2,1}]	390	5			4900
1	25	[{11,9},{11,3},{12,5},{12,7}]	[{2,2,1}]	400	5			5100
1	26	[{10,1},{12,4},{12,5},{12,7}]	[{2,2,1}]	410	5			5300
1	27	[{11,1},{11,2},{12,5},{12,8}]	[{2,2,1}]	420	5	20001		5500
1	28	[{12,1},{12,3},{12,5},{12,7}]	[{2,2,1}]	430	5			5700
1	29	[{12,1},{12,3},{12,4},{12,6}]	[{2,2,1}]	440	5			5900
1	30	[{13,1},{13,3},{303,5},{13,7}]	[{2,2,1}]	450	5	20001		6100
1	31	[{158,1},{158,3},{158,5},{158,7}]	[{2,2,1}]	460	5			6300
1	32	[{158,2},{159,4},{159,5},{159,7}]	[{2,2,1}]	470	5			6500
1	33	[{159,1},{159,3},{159,5},{159,7}]	[{2,2,1}]	480	5			6700
1	34	[{160,1},{160,3},{160,5},{162,7}]	[{2,2,1}]	490	5	20001		6900
1	35	[{160,1},{162,3},{162,4},{162,8}]	[{2,2,1}]	500	5			7100
1	36	[{13,1},{13,3},{13,5},{13,7}]	[{2,2,1}]	510	5			7300
1	37	[{159,1},{159,9},{159,5},{159,7}]	[{2,2,1}]	520	5			7500
1	38	[{160,1},{162,3},{162,5},{162,7}]	[{2,2,1}]	530	5	20001		7700
1	39	[{15,1},{13,3},{14,5},{14,7}]	[{2,2,1}]	540	5			7900
1	40	[{156,1},{156,3},{157,4},{304,8}]	[{2,2,1}]	550	5			8100
1	41	[{160,1},{162,3},{162,5},{162,7}]	[{2,2,1}]	560	5			8300
1	42	[{160,1},{161,8},{161,5},{162,7}]	[{2,2,1}]	570	5	20001		8500
1	43	[{161,1},{161,3},{161,5},{161,7}]	[{2,2,1}]	580	5			8700
1	44	[{160,1},{162,4},{162,5},{162,7}]	[{2,2,1}]	590	5			8900
1	45	[{160,1},{162,3},{161,8},{162,6}]	[{2,2,1}]	600	5	20001		9100
1	46	[{13,1},{13,3},{15,5},{15,7}]	[{2,2,1}]	610	5			9300
1	47	[{162,1},{162,3},{162,5},{161,7}]	[{2,2,1}]	620	5			9500
1	48	[{162,1},{162,3},{162,5},{162,7}]	[{2,2,1}]	630	5			9700
1	49	[{163,1},{163,3},{163,5},{163,7}]	[{2,2,1}]	640	5	20001		9900
1	50	[{304,3},{13,4},{14,9},{305,1}]	[{2,2,1}]	650	5			10100
1	51	[{158,1},{17,3},{17,5},{17,7}]	[{2,2,1}]	660	5			10300
1	52	[{18,6},{17,7},{17,1},{17,2}]	[{2,2,1}]	670	5			10500
1	53	[{165,1},{165,3},{166,5},{166,7}]	[{2,2,1}]	680	5	20001		10700
1	54	[{165,1},{165,2},{166,4},{166,7}]	[{2,2,1}]	690	5			10900
1	55	[{17,1},{17,3},{17,5},{19,9}]	[{2,2,1}]	700	5			11100
1	56	[{17,1},{17,4},{17,6},{19,9}]	[{2,2,1}]	710	5			11300
1	57	[{165,1},{165,4},{166,5},{166,7}]	[{2,2,1}]	720	5	20001		11500
1	58	[{165,1},{165,3},{166,5},{166,7}]	[{2,2,1}]	730	5			11700
1	59	[{17,1},{17,3},{168,5},{19,9}]	[{2,2,1}]	740	5			11900
1	60	[{168,1},{168,3},{306,5},{168,9}]	[{2,2,1}]	750	5	20001		12100
1	61	[{17,1},{17,3},{17,5},{19,9}]	[{2,2,1}]	760	5			12300
1	62	[{167,1},{167,3},{17,5},{19,9}]	[{2,2,1}]	770	5			12500
1	63	[{20,1},{20,3},{22,5},{21,7}]	[{2,2,1}]	780	5			12700
1	64	[{167,1},{167,3},{168,5},{19,9}]	[{2,2,1}]	790	5	20001		12900
1	65	[{165,1},{166,3},{165,5},{166,7}]	[{2,2,1}]	800	5			13100
1	66	[{20,1},{19,3},{22,5},{21,7}]	[{2,2,1}]	810	5			13300
1	67	[{17,2},{20,3},{22,5},{21,6}]	[{2,2,1}]	820	5			13500
1	68	[{20,2},{22,4},{22,5},{21,9}]	[{2,2,1}]	830	5	20001		13700
1	69	[{20,1},{167,3},{22,5},{21,7}]	[{2,2,1}]	840	5			13900
1	70	[{20,1},{22,3},{22,6},{307,8}]	[{2,2,1}]	850	5			14100
1	71	[{165,1},{165,3},{166,5},{166,7}]	[{2,2,1}]	860	5			14300
1	72	[{20,1},{22,3},{22,8},{21,7}]	[{2,2,1}]	870	5	20001		14500
1	73	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,1}]	880	5			14700
1	74	[{20,1},{22,3},{22,5},{21,7}]	[{2,2,1}]	890	5			14900
1	75	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,1}]	900	5	20001		15100
1	76	[{20,1},{22,3},{22,6},{21,7}]	[{2,2,2}]	910	5			15300
1	77	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,2}]	920	5			15500
