id	diamond	free	chat	reward	dayPrize	fast	tired_buy	jingji_buy	fb_buy
1	0	0	5	0	0	15	1	2	2
2	100	80	5	2	1	20	2	3	3
3	1000	400	5	3	1	20	3	4	4
4	3000	800	5	4	1	20	3	4	4
5	5000	1500	5	5	2	20	3	4	4
6	10000	3000	5	6	2	25	4	5	5
7	20000	4000	5	7	2	25	4	5	5
8	30000	5000	5	8	3	25	4	5	5
9	50000	6000	5	9	3	25	4	5	5
10	80000	10000	5	10	3	30	4	6	6
11	120000	15000	5	11	4	30	5	6	6
12	200000	20000	5	12	4	30	5	6	6
13	500000	50000	5	13	4	30	5	6	6
14	800000	80000	5	14	5	30	5	7	7
15	1500000	140000	5	15	5	30	5	7	7
16	2000000	200000	5	16	5	35	6	8	8
